Publication Type,Authors,Book Authors,Group Authors,Book Group Authors,Researcher Ids,ORCIDs,Book Editors,Author - Arabic,Grant Principal Investigator,Grant Co Principal Investigator,Article Title,Article Title - SciELO,Article Title - SciELO,Article Title - Chinese,Article Title - Russian,Patent Number,Patent Assignee,Source Title - Arabic,Source Title,Source Title - Korean,Book Series Title,Book Series Subtitle,Volume,Issue,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,Version,Version History,DOI,Book DOI,License Name,License URI,License Description,Early Access Date,Supplement,Document Type,Publication Date,Publication Year,Abstract,Abstract - Foreign,Abstract - English Transliteration,Abstract - Foreign,Abstract - Korean,Conference Title,Conference Date,Conference Sponsor,Conference Location,"Times Cited, WoS Core","Times Cited, CSCD","Times Cited, RSCI","Times Cited, ARCI","Times Cited, BCI","Times Cited, SCIELO","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,ISSN,eISSN,ISBN,Grant Number,No of References,Cited References,Language,Advisor,Committee Member,Copyright,Degree Name,Institution Address,Institution,Dissertation and Thesis Subjects,Author Keywords,Indexed Date,UT (Unique ID),Pubmed Id,,,,
J,"Yun, Sang-Woong; Kim, Bong-Jae; Choi, Jae-Woong; Yang, Seung-Ho; 조진욱; 김부기",,,,,,,,,,Quayside Mooring System Design of Prelude FLNG for Extreme Environmental Condition,,,극한환경조건에 대한 프릴루드 FLNG 안벽계류시스템 설계,,,,,Journal of Ocean Engineering and Technology,한국해양공학회지,,,32,1,,,21,27,,,,,,,,,,,research-article,2018,2018,"The design and analysis of a quayside mooring system for safe mooring of Prelude FLNG under extreme environmental conditions were carried out. The design of the mooring system considered the yard operation conditions and maximum wind speed during a typhoon. In order to secure the mooring safety of Prelude FLNG under an extreme environment, a special steel structure was designed between the quay and Prelude FLNG to maintain the distance from the quay to a certain extent to avoid a collision with the inclined base. The mooring safety was also ensured by installing additional new parts on the quay. A mooring analysis and mooring safety review were performed with more rigorous modeling considering the nonlinearity of the mooring rope and fender. In order to secure additional safety of the mooring system under extreme environmental conditions, a safety assessment was conducted on the failures of the mooring components proposed in the marine mooring guidelines. Based on the results of the mooring analysis, it was confirmed that the Prelude FLNG can be safely moored even under the extreme conditions of typhoons, and a worst case scenario analysis verified that the mooring system design was robust enough. The proposed mooring analysis and design method will provide a basis for the safe mooring of ultra-large floating offshore structures of similar size in the future.",,,,,,,,,0,0,0,0,0,0,0,,,1225-0767,,,,,,,,,,,,,,,2018-03-29,KJD:ART002318153,,,,,
C,"Li, Jie; Eustice, Ryan M.; Johnson-Roberson, Matthew",,,IEEE,"zhao, hang/JVM-8270-2024","Eustice, Ryan/0000-0002-9989-4942",,,,,High-Level Visual Features for Underwater Place Recognition,,,,,,,,2015 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION (ICRA),,IEEE International Conference on Robotics and Automation ICRA,,,,,,3652,3659,,,,,,,,,,,Proceedings Paper,2015,2015,"This paper reports on a method to perform robust visual relocalization between temporally separated sets of underwater images gathered by a robot. The place recognition and relocalization problem is more challenging in the underwater environment mainly due to three factors: 1) changes in illumination; 2) long-term changes in the visual appearance of features because of phenomena like biofouling on man-made structures and growth or movement in natural features; and 3) low density of visually salient features for image matching. To address these challenges, a patch-based feature matching approach is proposed, which uses image segmentation and local intensity contrast to locate salient patches and HOG description to make correspondences between patches. Compared to traditional point-based features that are sensitive to dramatic appearance changes underwater, patch-based features are able to encode higher level information such as shape or structure which tends to persist across years in underwater environments. The algorithm is evaluated on real data, from multiple years, collected by a Hovering Autonomous Underwater Vehicle for ship hull inspection. Results in relocalization performance across missions from different years are compared to other traditional methods.",,,,,IEEE International Conference on Robotics and Automation (ICRA)IEEE International Conference on Robotics and Automation (ICRA),"MAY 26-30, 2015MAY 26-30, 2015",IEEEIEEE,"Seattle, WASeattle, WA",19,1,1,0,0,0,23,,,1050-4729,2577-087X,978-1-4799-6923-4,,,,,,,,,"Univ Michigan, Dept Elect Engn & Comp Sci, Ann Arbor, MI 48109 USAUniv Michigan, Dept Naval Architecture & Marine Engn, Ann Arbor, MI 48109 USA",,,,2016-03-23,WOS:000370974903096,,,,,
J,"Goodale, M. Wing; Milman, Anita",,,,,"Goodale, M./0000-0002-5984-5046; Milman, Anita/0000-0002-5712-9388",,,,,Assessing Cumulative Exposure of Northern Gannets to Offshore Wind Farms,,,,,,,,WILDLIFE SOCIETY BULLETIN,,,,44,2,,,252,259,,,,10.1002/wsb.1087,,,,,APR 2020,,Article; Early Access,,2020,"Offshore wind farms are rapidly being permitted along the Atlantic Coast of the United States. Exposure of northern gannet (Morus bassanus) to multiple wind farms could affect the population because gannets are vulnerable to both displacement and collision. A critical question is whether wind-farm siting decisions can reduce cumulative exposure of gannets. We quantified how 3 different wind-farm siting scenarios would cumulatively expose gannets. Two independent gannet abundance data sets were used to ensure robustness of the analysis: 1) individual tracking data from birds captured in the mid-Atlantic region of the United States from 2012-2015 and 2) relative abundance models developed by the National Oceanic and Atmospheric Administration from surveys conducted from 1978-2014 along the Atlantic Coast of the United States. Our results indicate that for initial development, projects sited close to shore and in shallow areas exposed gannets at the greatest rates; however, no siting scenario effectively avoided exposing gannets because of the birds' broad distribution across the outer continental shelf. These findings suggest that gannets will be cumulatively exposed regardless of siting scenario and management actions should focus on efforts to minimize adverse effects at each wind farm rather than avoiding exposure through siting decisions. (c) 2020 The Wildlife Society.",,,,,,,,,1,0,0,0,1,0,1,,,2328-5540,,,,,,,,,,,"Univ Massachusetts, Dept Environm Conservat, 210 Holdsworth Hall, Amherst, MA 01003 USABiodivers Res Inst, 276 Canco Rd, Portland, ME 04103 USA",Biodivers Res Inst,,,2020-05-05,WOS:000527908000001,,,,,
J,"Page, Henry M.; Dugan, Jenifer E.; Culver, Carolynn S.; Hoesterey, Justin C.",,,,"Langhamer, Olivia/J-3425-2012",,,,,,Exotic invertebrate species on offshore oil platforms,,,,,,,,MARINE ECOLOGY PROGRESS SERIES,,,,325,,,,101,107,,,,10.3354/meps325101,,,,,,,Article,2006,2006,"We report the presence of 3 exotic invertebrate species inhabiting offshore oil and gas platforms on the Pacific offshore continental shelf (POCS) of central and southern California, USA. These exotic species occur in high cover or density and may negatively affect populations of native species on the platforms. Conspicuous exotic species (the bryozoan Watersipora ?subtorquata and the anemone Diadumene sp.) were detected on 2 of 7 platforms surveyed. An inconspicuous exotic species (the amphipod Caprella mutica) was detected on 2 of 2 platforms surveyed for such smaller species. In addition to serving as a potential source of exotic species to natural reef habitats, the presence of exotic species on oil platforms may influence the degree to which these structures provide the ecological services of natural reefs. The presence of exotic species on platforms also has consequences for various platform decommissioning options in California and elsewhere (there are an estimated 7000 offshore platforms/installations worldwide), including the removal and transport of platforms for use as artificial reefs, if removals are conducted without regard for the potential transport/dispersal of these species. Further knowledge of the identity of exotic species on oil platforms, their potential for dispersal and interaction with native species, and whether these species can also occur on artificial reefs, will improve our understanding of the effects that artificial structures in general have on the ecological functioning of coastal ecosystems.",,,,,,,,,83,0,0,0,77,1,90,,,0171-8630,1616-1599,,,,,,,,,,"Univ Calif Santa Barbara, Inst Marine Sci, Santa Barbara, CA 93106 USA",,,,2006-01-01,WOS:000242805700009,,,,,
J,"Morris, Rebecca L.; Deavin, Gemma; Donald, Stephanie Hemelryk; Coleman, Ross A.",,,,"Morris, Rebecca/AAB-3364-2020","Morris, Rebecca/0000-0003-0455-0811; Donald, Stephanie/0000-0001-9435-7905",,,,,Eco-engineering in urbanised coastal systems: consideration of social values,,,,,,,,ECOLOGICAL MANAGEMENT & RESTORATION,,,,17,1,,,33,39,,,,10.1111/emr.12200,,,,,,,Article,JAN 2016,2016,"Loss of marine habitats due to urbanisation has been met with growing research efforts to mitigate ecological impacts through eco-engineering. Research in this area has focused on scientific and engineering outcomes, not considering that seawalls are a socially driven insertion into the environment. Further, management concerns when employing eco-engineering projects include public opinion regarding the aesthetic value of enhanced structures. It is therefore important for ecologists working in urban systems to understand how the public connects with the environment. Here, we used surveys to quantify perceptions of marine environmental issues and attitudes towards an example of eco-engineering research from Sydney Harbour, Australia. We also evaluated the effect of disclosing the costs of enhancing seawalls to participants regarding their support for the initiative. Results showed there was high support for applied management to improve biodiversity. This result is promising for the implementation of future eco-engineering projects. Understanding social values towards our coastlines and new conservation initiatives will provide end users with the tools to optimise coastal management plans. In summary, consideration of public values in urban conservation is essential for effective management.",,,,,,,,,23,0,0,0,19,0,26,,,1442-7001,1442-8903,,,,,,,,,,"Univ Sydney, Sch Biol Sci, Ctr Res Ecol Impacts Coastal Cities, Sydney, NSW 2006, AustraliaUniv Sydney, Inst Sustainable Solut, Sydney, NSW 2006, AustraliaUniv Sydney, Dept Media & Commun, Sydney, NSW 2006, Australia",,,,2016-01-01,WOS:000368732700005,,,,,
J,"Lynch, Sharon A.; Darmody, Grainne; O'Dwyer, Katie; Gallagher, Mary Catherine; Nolan, Sinead; McAllen, Rob; Culloty, Sarah C.",,,,,"O'Dwyer, Katie/0000-0001-8101-3206",,,,,Biology of the invasive ascidian Ascidiella aspersa in its native habitat: Reproductive patterns and parasite load,,,,,,,,ESTUARINE COASTAL AND SHELF SCIENCE,,,,181,,,,249,255,,,,10.1016/j.ecss.2016.08.048,,,,,,,Article,NOV 5 2016,2016,"The European sea squirt Ascidiella aspersa is a solitary tunicate native to the northeastern Atlantic, commonly found in shallow and sheltered marine ecosystems where it is capable of forming large clumps and outcompeting other invertebrate fauna at settlement. To date, there have been relatively few studies looking at the reproductive biology and health status of this invasive species. Between 2006 and 2010 sampling of a native population took place to investigate gametogenesis and reproductive cycle and to determine the impact of settlement depth on reproduction. In addition, parasite diversity and impact was assessed. A staging system to assess reproductive development was determined. The study highlighted that from year to year the tunicate could change its reproductive strategy from single sex to hermaphrodite, with spawning possible throughout the year. Depth did not impact on sex determination, however, gonad maturation and spawning occurred earlier in individuals in deeper waters compared to shallow depth and it also occurred later in A. aspersa at sites further away from the open sea. Four significant parasite groups including eugregarines, ciliates, trematodes and turbellarians were detected and prevalence of parasite infections increased in A. aspersa at sites with a reduced water flow rate. This study demonstrates the high biotic potential of this ascidian bioinvader to have a negative impact on native fauna in an introduced ecosystem, due to its highly efficient reproductive and resource allocation strategies. Artificial structures such as mooring lines can harbour large aggregations of A. aspersa, however, these manmade habitats may facilitate the colonisation and establishment of this invasive species in the benthos. Additionally, the parasite communities that A. aspersa harbour may also exacerbate its negative impact, both ecologically and economically, in an introduced area by possibly leading to the emergence of new disease in native species i.e. pathogen spillover. (C) 2016 Elsevier Ltd. All rights reserved.",,,,,,,,,12,0,0,0,11,0,13,,,0272-7714,1096-0015,,,,,,,,,,"Univ Coll Cork, Sch Biol Earth & Environm Sci, Aquaculture & Fisheries Dev Ctr, Distillery Fields, North Mall, Cork, IrelandUniv Coll Cork, Environm Res Inst, Distillery Fields, North Mall, Cork, Ireland",,,,2016-11-16,WOS:000386406500024,,,,,
J,"ISAACSON, M; ALLYN, N; LOVERICH, G",,,,,,,,,,DEVELOPMENT OF A NET PEN SYSTEM FOR AQUACULTURE FARMING,,,,,,,,CANADIAN JOURNAL OF CIVIL ENGINEERING,,,,20,2,,,189,200,,,,10.1139/l93-024,,,,,,,Article,APR 1993,1993,"The present paper describes a study carried out to verify a new net pen system which has been developed for aquaculture farming at exposed coastal sites. The structure is based on the use of spar buoys rather than rigid floats to support the net. A prototype structure has been deployed in Juan de Fuca Strait, and a verification of the system is described. This has involved an assessment of the environmental conditions and hydrodynamic loading for the structure, strength and fatigue analyses, and a calibration of wave conditions and mooring line forces with respect to prototype measurements. Overall, the system has been found to perform very well. Recommendations are made for monitoring the prototype system and for carrying out a refined verification of the system based on additional data.",,,,,,,,,4,0,0,0,0,0,4,,,0315-1468,,,,,,,,,,,"WESTMAR CONSULTANTS LTD,N VANCOUVER V7M 1B3,BC,CANADANET SYST INC,BAINBRIDGE ISL,WA 98110",WESTMAR CONSULTANTS LTDNET SYST INC,,,1993-04-01,WOS:A1993LA78900003,,,,,
J,"Sanchez-Caballero, C. A.; Borges-Souza, J. M.",,,,"Borges Souza, jose Manuel/HKW-1807-2023","Borges Souza, jose Manuel/0000-0003-3332-4020",,,,,Characterization of the fish assemblage in different coastal habitats in an area heavily impacted by tourism,,,,,,,,REGIONAL STUDIES IN MARINE SCIENCE,,,,18,,,,106,112,,,,10.1016/j.rsma.2018.01.005,,,,,,,Article,FEB 2018,2018,"Strong relationships exist between reef fishes and their habitat, anthropogenic habitat alterations may lead variations in the associated fish. Knowledge of fish species distribution over coastal areas heavily impacted by tourism over the Mexican Central Pacific is scarce. This work aims to identify the reef fish species on different coastal habitats (sand, rock, mud) present in Puerto Marques Bay. The fish community was characterized in terms of species richness, abundance, feeding behavior and was further assessed using similarity analysis. The number of species and the relative abundance of fish species recorded varied significantly among the habitats (ANOSIM test: R = 0.676, P < 0.01, 999 permutations). In rocky areas, the highest value of richness, exclusive species and the number of organisms were recorded. In comparison with soft bottoms, the complexity of hard substrates plays a significant role in reducing prey abundances and providing nesting sites and different food resources such as invertebrates and macroalgae. Mugil cephalus was the only species recorded with muddy habitat affinity, where it feeds on detritus. Predatory species like Caranx caballus, Lutjanus jordani and Lutjanus peru, generally associated with complex rocky substrates were recorded exclusively in sandy areas near to the tourist marina. Although our data do not allow to conclude the anthropogenic outcomes in the reef fish community structure, they suggest that fish assemblage from sandy bottoms could be affected by the presence of artificial structures. (C) 2018 Elsevier B.V. All rights reserved.",,,,,,,,,4,0,0,0,2,0,4,,,2352-4855,,,,,,,,,,,"IPN, CICIMAR, Interdisciplinary Ctr Marine Sci, Dept Fisheries & Marine Biol, La Paz, Baja California, Mexico",,,,2018-04-05,WOS:000427936600011,,,,,
J,"Shi, Jianzhe; Wang, Xin; Ding, Lining; Wu, Zhishen",,,,"Wang, Xin/AGJ-9845-2022; wu, zhi/GXH-3041-2022; Chen, S./H-3083-2011","Wang, Xin/0000-0003-4504-8502",,,,,Degradation of Creep Behaviors of Basalt Fiber-Reinforced Polymer Tendons in Salt Solution,,,,,,,,JOURNAL OF MATERIALS IN CIVIL ENGINEERING,,,,30,12,,,,,4018317,,,10.1061/(ASCE)MT.1943-5533.0002525,,,,,,,Article,DEC 2018,2018,"This study investigates the creep behaviors of basalt fiber-einforced polymer (BFRP) tendons as a prestressing material in salt solution. Static tensile tests and creep tests were conducted on the BFRP tendons after aging subjected to salt solution. Experimental variables included the aging temperature and aging duration. The tensile strength, elastic modulus, creep strain, and creep rupture stress of the degraded BFRP tendons are analyzed and discussed. Furthermore, a scanning electron microscopy analysis was conducted to clarify the degradation mechanism of the creep behavior. The results show that the aging temperature and duration in salt solution have a negligible effect on the creep strain increase of BFRP. The ratio of the creep rupture stress to the original tensile strength of BFRP tendons aged in salt solution decreases considerably. However, the ratio of the creep rupture stress to the degraded tensile strength exhibits no degradation, which indicates that the impact of the sustained load is independent of the impact of the salt solution on the mechanical behaviors of BFRP tendons. The appearance of corrosion channels in BFRP tendons, which accelerate successive fiber-matrix debonding under a sustained load, is determined to be the main cause for the degradation of its creep behavior in salt solution. These results provide a reference for the determination of the long-term stress of BFRP tendons used in offshore structures. (C) 2018 American Society of Civil Engineers.",,,,,,,,,12,3,0,0,0,0,14,,,0899-1561,1943-5533,,,,,,,,,,"Southeast Univ, Minist Educ, Key Lab C&PC Struct, Nanjing 211189, Jiangsu, Peoples R ChinaSoutheast Univ, Natl & Local Unified Engn Res Ctr Basalt Fiber Pr, Nanjing 210019, Jiangsu, Peoples R ChinaNanjing Forestry Univ, Sch Civil Engn, Nanjing 210037, Jiangsu, Peoples R China",,,,2018-10-29,WOS:000447255200013,,,,,
C,"El-Gharbawy, S; Olson, R",,,,,,"Chung, JS; Matsui, T; Koterayama, W",,,,The cyclic pullout capacity of suction caisson foundations,,,,,,,,"PROCEEDINGS OF THE NINTH (1999) INTERNATIONAL OFFSHORE AND POLAR ENGINEERING CONFERENCE, VOL 1, 1999",,International Offshore and Polar Engineering Conference Proceedings,,,,,,660,667,,,,,,,,,,,Proceedings Paper,1999,1999,"The increased cost and potential difficulty of pile driving in the deeper waters of the Gulf of Mexico (GoM) have been the impetus for exploring alternative foundation types. One viable option that presented itself to the petroleum industry was the suction caisson foundation. Floating offshore structures are subjected not only to static uplift loads due to buoyancy, but also to low frequency cyclic loads from environmental conditions. An experimental program was undertaken to investigate the behavior of model suction caissons under simulated location-specific geotechnical and environmental conditions of the GoM (El-Gharbawy, 1998a). The effects of such parameters as the magnitude of the peak cyclic load, the inclination, and frequency of the applied load on the number of cycles undertaken by the caisson to undergo excessive displacement were examined. At peak cyclic loads greater than the long-term capacity of the caisson, caisson displacements occurred at rates proportional to the magnitude of the peak load. The static, long-term capacity (LTC) of the caisson was found to provide an upper limit on the peak cyclic load that could be withstood by the foundation before undergoing significant displacement. The effects of load inclination and oscillation frequency on the cyclic capacity were of particular interest when the peak cyclic load exceeded the long-term capacity of the caisson. The relationship between the number of cycles to a given displacement and the magnitude of the peak cyclic load was also a function of both the load inclination and oscillation frequency.",,,,,9th International Offshore and Polar Engineering Conference (ISOPE-99)9th International Offshore and Polar Engineering Conference (ISOPE-99),"MAY 30-JUN 04, 1999MAY 30-JUN 04, 1999","Int Soc Offshore & Polar Engineers; Canadian Assoc Petr Producers; Amer Soc Civil Engineers, Engn Mech Div; Korea Comm Ocean Resources & Engn; Canadian Civil Engineers, Engn Mech Div; Chinese Soc Ocean Engineers; Chinese Soc Naval Architects & Marine Engineers; Chinese Soc Theoret & Applied Mech; Russian Acad Sci; Singapore Struct Steel Soc; Norwegian Petr Soc; Inst Engineers Australia; Kansai Soc Naval Architects, Japan; IRO, Netherlands; Tech Res Ctr Finland; Soc Mat Sci, Japan; Offshore Engn Soc, UK; Ukraine Soc Mech Engineers; IFREMER, France; Scott Polar Res Inst, UK; Inst Engineers Indonesia; Brazilian Soc Naval Architects & Marine EngineersInt Soc Offshore & Polar Engineers; Canadian Assoc Petr Producers; Amer Soc Civil Engineers, Engn Mech Div; Korea Comm Ocean Resources & Engn; Canadian Civil Engineers, Engn Mech Div; Chinese Soc Ocean Engineers; Chinese Soc Naval Architects & Marine Engineers; Chinese Soc Theoret & Applied Mech; Russian Acad Sci; Singapore Struct Steel Soc; Norwegian Petr Soc; Inst Engineers Australia; Kansai Soc Naval Architects, Japan; IRO, Netherlands; Tech Res Ctr Finland; Soc Mat Sci, Japan; Offshore Engn Soc, UK; Ukraine Soc Mech Engineers; IFREMER, France; Scott Polar Res Inst, UK; Inst Engineers Indonesia; Brazilian Soc Naval Architects & Marine Engineers","BREST, FRANCEBREST, FRANCE",5,1,0,0,0,0,5,,,1098-6189,,1-880653-40-0,,,,,,,,,"Delmar syst Inc, Houston, TX 77094 USA",Delmar syst Inc,,,1999-01-01,WOS:000080987600100,,,,,
