Publication Type,Authors,Book Authors,Group Authors,Book Group Authors,Researcher Ids,ORCIDs,Book Editors,Author - Arabic,Grant Principal Investigator,Grant Co Principal Investigator,Article Title,Article Title - SciELO,Article Title - SciELO,Article Title - Chinese,Article Title - Russian,Patent Number,Patent Assignee,Source Title - Arabic,Source Title,Source Title - Korean,Book Series Title,Book Series Subtitle,Volume,Issue,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,Version,Version History,DOI,Book DOI,License Name,License URI,License Description,Early Access Date,Supplement,Document Type,Publication Date,Publication Year,Abstract,Abstract - Foreign,Abstract - English Transliteration,Abstract - Foreign,Abstract - Korean,Conference Title,Conference Date,Conference Sponsor,Conference Location,"Times Cited, WoS Core","Times Cited, CSCD","Times Cited, RSCI","Times Cited, ARCI","Times Cited, BCI","Times Cited, SCIELO","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,ISSN,eISSN,ISBN,Grant Number,No of References,Cited References,Language,Advisor,Committee Member,Copyright,Degree Name,Institution Address,Institution,Dissertation and Thesis Subjects,Author Keywords,Indexed Date,UT (Unique ID),Pubmed Id,
J,,,,,,,,,Richard Jardine,,ALPACA: Axial-Lateral Pile Analysis for Chalk Applying multi-scale field and laboratory testing,,,,,,,,,,,,,,,,,,,,,,,,,,,,Awarded Grant,Sep 30 2017,2017,"Chalk is a highly variable soft rock that covers much of Northern Europe and is widespread under the North and Baltic Seas. It poses significant problems for the designers of large foundations for port, bridge and offshore wind turbine structures that have to sustain severe environmental loading over their many decades in service. Particular difficulties are faced when employing large driven steel piles to secure the structures in place. While driven pile foundation solutions have many potential advantages, chalk is highly sensitive to pile driving and to service loading conditions, such as the repeated cyclic buffeting applied to bridge, harbour and offshore structures by storm winds and wave impacts. Current guidance regarding how to allow for difficult pile driving conditions or predict the piles' vertical and lateral response to loads is notoriously unreliable in chalk. There is also no current industrial guidance regarding the potentially positive effects of time (after driving) on pile behaviour or the generally negative impact of the cyclic loading that the structures and their piled foundations will inevitably experience. These shortfalls in knowledge are introducing great uncertainty into the assessment and design of a range of projects around the UK and Northern Europe. Particularly affected are a series of planned and existing major offshore wind farm developments. The uncertainty regarding foundation design and performance poses a threat to the economic and safe harnessing of vital renewable, low carbon, offshore energy supplies. Better design guidelines will reduce offshore wind energy costs and also help harbour and transport projects to progress and function effectively, so delivering additional benefits to both individual consumers and UK Industry.The research proposed will generate new driven pile design guidance for chalk sites through a comprehensive programme of high quality field tests, involving multiple loading scenarios, on 21 specially instrumented driven tubular steel test piles, at an onshore test site in Kent. This will form a benchmark set of results that will be complemented by comprehensive advanced drilling, sampling, in-situ testing and laboratory experiments, supported by rigorous analysis and close analysis of other case history data. The key aim is to develop design procedures that overcome, for chalk, the current shortfalls in knowledge regarding pile driving, ageing, static and cyclic response under axial and lateral loading. The main deliverable will be new guidelines for practical design that will be suitable for both onshore and offshore applications.",,,,,,,,,0,0,0,0,0,0,0,,,,,,EP/P033091/1,,,,,,,,Imperial College London,,,,2023-12-08,GRANTS:15403029,,
J,"Akbari, Negar",,,,,,,,,,Decision Analytical Models for the Sustainable Development of Marine Renewable Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dissertation/Thesis,Jan 01 2019,2019,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,"University of Portsmouth (United Kingdom), England",University of Portsmouth (United Kingdom),,,,PQDT:68619880,,
J,"Santos, M; Monteiro, C; Lasserre, G",,,,,,,,,,Comparison of the fish assemblages of two artificial reefs off Ria Formosa lagoon (Portugal): Preliminary results,,,,,,,,OCEANOLOGICA ACTA,,,,19,1,,,89,97,,,,,,,,,,,Article,1996,1996,"The fish assemblages of two artificial reef systems of the south coast of Algarve (Portugal) are presented, and a comparative study is made of their species richness variation according to their location off the Ria Formosa lagoon. Each system consists of a protection reef and an exploitation reef. Gillnets, traps, longline and visual census were used as sampling techniques. Both reefs showed similar species richness, in each case higher than that of Ria Formosa. No significant differences of species richness were found between the reef systems (p = 0.1). However, the exploitation reefs showed a significant difference of species richness, that was more evident when accumulated species richness was used to compare them (p = 0.01).",,,,,,,,,12,0,0,0,5,0,12,,,0399-1784,,,,,,,,,,,"UNIV MONTPELLIER 2,LAB HYDROBIOL MARINE,URA CNRS,F-34095 MONTPELLIER 05,FRANCE",,,,1996-01-01,WOS:A1996UH95100008,,
J,"Zalmon, Ilana Rosental; Boina, Catarina Dalvi; Almeida, T. C. M.",,,,"Zalmon, Ilana I/I-1266-2015; Almeida, Tito Cesar Marques de/ABF-4966-2020","Almeida, Tito Cesar Marques de/0000-0002-1151-8636; Zalmon, Ilana/0000-0001-5888-9875",,,,,"Artificial reef influence on the surrounding infauna-north coast of Rio de Janeiro State, Brazil",,,,,,,,JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM,,,,92,6,,,1289,1299,,,,10.1017/S0025315411001147,,,,,,,Article,SEP 2012,2012,"There have been many efforts to appraise the extent to which artificial reefs affect the surrounding community, but few studies addressed whether benthic assemblages change with distance from the reef. We experimentally assessed the relationship between infauna abundance and richness with increased distance (0, 5, 25, 50, 100 and 300 m) from reefballs deployed on a flat and homogeneous bottom, 9-m deep, on the north coast of Rio de Janeiro, south-eastern Brazil. Benthic taxon richness and abundance varied significantly between surveys with higher values in February 2007. Both numerical indicators changed similarly with distance, but more noticeably between 300 m and the other distance treatments where abundance was highest. A non-metric multidimensional scaling ordination revealed that macrobenthic assemblages were very heterogeneous with significant differences between surveys but not among sampling distances. A canonical correspondence analysis including species, distances and sediment variables showed that the distances 5, 25 and 100 m were related to organic matter and mud (fine sediment), while 0 and 300 m distances were more related to the non-organic variables, such as the percentage of gravel, sand and calcium carbonate. Spatial variations in the parameters of the sediment alone did not explain the distribution of the associated infauna, given the similarity of the community at different distances. It is suggested that the influence of artificial reefs is quickly dissipated due to strong bottom sea currents, indicating a reduced impact or influence of these reefs on the surrounding infauna.",,,,,,,,,9,1,0,0,7,0,11,,,0025-3154,1469-7769,,,,,,,,,,"Univ Estadual Norte Fluminense, Ctr Biociencias & Biotecnol, BR-28013602 Campos Dos Goytacazes, RJ, BrazilUniv Vale Itajai, CTTMAR, BR-88302130 Itajai, SC, Brazil",,,,2012-09-01,WOS:000308312900006,,
J,"Melo, Dante Fernando Recalde; Chang-Chien, Le-Ren",,,,"Chang-Chien, Le-Ren/W-1677-2019; Recalde Melo, Dante Fernando/N-9056-2014","Chang-Chien, Le-Ren/0000-0001-9310-9352; Recalde Melo, Dante Fernando/0000-0002-2930-1662",,,,,Synergistic Control Between Hydrogen Storage System and Offshore Wind Farm for Grid Operation,,,,,,,,IEEE TRANSACTIONS ON SUSTAINABLE ENERGY,,,,5,1,,,18,27,,,,10.1109/TSTE.2013.2272332,,,,,,,Article,JAN 2014,2014,"Wind energy is achieving worldwide acceptance as the most appealing renewable resource. Due to its increasing portion of generation mix, wind farms are expected to play the role similar to the traditional power plants. Down the road toward this goal, the intermittency and uncertainty of wind are the two important factors that should be solved. Today, storage systems present a very interesting alternative to deal with the wind variability. Among various storage types, the hydrogen system is showing a promising future due to the high storage efficiency, low emissions, and wide applications. This paper presents a new coordination control scheme between the offshore wind farm and a hydrogen management system (HMS) for reducing the adverse impacts of wind variability. In the proposed scheme, the HMS is situated onshore to provide medium-to long-term energy balancing service. A supercapacitor bank is supplemented to the system for providing the short-term transient compensation. System configuration and control strategies are also presented. Simulation tests were conducted to verify the feasibility and effectiveness of the proposed control. Test results indicate that the proposed control makes the wind farm be more flexible to satisfy the grid operation.",,,,,,,,,44,5,0,0,0,0,49,,,1949-3029,,,,,,,,,,,"Nanyang Technol Univ, Singapore 639798, SingaporeNatl Cheng Kung Univ, Dept Elect Engn, Tainan 70101, Taiwan",,,,2014-01-22,WOS:000328949000003,,
B,"da Silva, Nuno Alexandre Rocha",,,,,,,,,,Impacto das Condições Meteorológicas nas Janelas de Oportunidade para Operação de Parques Eólicos Offshore em Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dissertation/Thesis,Jan 01 2011,2011,,,,,,,,,,0,0,0,0,0,0,0,,,,,9.79838E+12,,,,,,,,,"Universidade de Lisboa (Portugal), Portugal",Universidade de Lisboa (Portugal),,,,PQDT:87642669,,
J,"Cabrera-Cruz, Sergio A.; Mabee, Todd J.; Villegas-Patraca, Rafael",,,,"Hernandez, Maria Elizabeth/Q-9737-2018; Villegas-Patraca, Rafael/T-2682-2018; Cabrera-Cruz, Sergio A./E-6424-2011","Villegas-Patraca, Rafael/0000-0003-4403-2613; Cabrera-Cruz, Sergio A./0000-0001-8742-4719",,,,,Patterns of nocturnal bird migration in southern Mexico,,,,,,,,REVISTA MEXICANA DE BIODIVERSIDAD,,,,88,4,,,867,879,,,,10.1016/j.rmb.2017.10.027,,,,,,,Article,DEC 2017,2017,"The Isthmus of Tehuantepec is the narrowest landmass between the Gulf of Mexico and the Pacific Ocean. It is known as an important stopover site and migration corridor for Nearctic-Neotropical migratory birds. We characterized nocturnal bird migration along the Pacific side of the isthmus with marine radar, and identified species with diurnal point counts during 5 fall seasons (2009-2013) at operational and proposed wind farms. We found significant differences in migratory traffic rates, flight directions, and flight altitudes among years and sites, but we also found patterns of similarity including flight directions heading to the southeast each season; migratory traffic rates peaking 3-4 h after sunset and decreasing thereafter; flight altitudes increasing throughout the night; seasonal mean flight altitudes fluctuating between 520 and 720 m above ground level (m agl); and <7% of detected targets flying below 100 m agl. Our data suggest that migratory activity initiates around mid -September and peaks in mid-October. We identified 58 bird species of nocturnal migrants. Studies of nocturnal bird migration are important for understanding potential impacts from wind farms. (C) (C) 2017 Universidad Nacional Autonoma de Mexico, Instituto de Biologia.",,,,,,,,,4,0,0,0,3,0,4,,,1870-3453,,,,,,,,,,,"Inst Ecol AC, Unidad Serv Profes Altamente Especializados, Carretera Antigua Xalapa Coatepec Esq Camino Ranc, Coatepec 91520, Veracruz, MexicoUniv Delaware, Dept Entomol & Wildlife Ecol, 531 South Coll Ave, Newark, DE 19716 USADNV GL, 333 SW 5th Ave,Suite 400, Portland, OR 97204 USA",DNV GL,,,2018-01-01,WOS:000418013400014,,
C,"Olivieri, MP; Glegg, SAL; Coulson, RK",,,IEEE; IEEE,,,,,,,Using Ambient Noise Sonar (ANS) to probe the ocean environment in shallow water.,,,,,,,,"OCEANS'98 - CONFERENCE PROCEEDINGS, VOLS 1-3",,,,,,,,1368,1372,,,,,,,,,,,Proceedings Paper,1998,1998,"The Ambient Noise Sonar system (ANS) is a passive sonar array that has been developed to study the ocean environment in coastal waters by measuring ocean noise global directivity using only six transducers in a sparse volume array of maximum size 2m [J. Acoust. Sec, of Am., 100, pt2, 2732 (1996)]. The array output gives three-dimensional images with thousands of independent pixels for any chosen look direction and so can provide both horizontal and vertical directivity patterns. This system uses the natural broadband characteristics of ambient noise using a multiplicative processing of the cross-correlations between the receivers, similar to Class I T.A.P arrays. The sonar has already been used in a variety of experiments to probe the ocean environment in shallow waters off the coast of Florida. Although there have been many measurements made of ambient noise levels in shallow water there appear to be very few published results of the ambient noise horizontal directivity. More recently there have been a number of experiments on near-shore ambient noise and these have shown the importance of biological activity in low sea states and breaking waves in high sea states. The results found with the ANS indicate that in tropical waters and in low sea states the noise is highly anisotropic and is generated by biological noise sources and not breaking waves, contrary to the standard assumption that the noise is surface generated and isotropic. Colonies of snapping shrimp have been localized along the coast, clustered around man-made structures and natural reefs. Noise measurements from these biological sources were used to create noise maps of the near-shore region, which were evaluated with further measurements to validate the propagation model. Finally, by monitoring local boat traffic, the ANS used boat noise as a source of opportunity to probe the environment and obtain an estimate of the bottom reflection coefficient. The measurement of the vertical arrival structure from boat noise can also indicate the presence of a sound velocity profile.",,,,,IEEE OCEANS Conference and Exhibition on Engineering for Sustainable Use of the Oceans (OCEANS 98)IEEE OCEANS Conference and Exhibition on Engineering for Sustainable Use of the Oceans (OCEANS 98),"SEP 28-OCT 01, 1998SEP 28-OCT 01, 1998",IEEE; IEEE Ocean Engn SocIEEE; IEEE Ocean Engn Soc,"NICE, FRANCENICE, FRANCE",0,0,0,0,0,0,0,,,,,0-7803-5045-6,,,,,,,,,"Florida Atlantic Univ, Dept Ocean Engn, Boca Raton, FL 33431 USA",,,,1998-01-01,WOS:000078340800272,,
J,"Kennish, R; Wilson, KDP; Lo, J; Clarke, SC; Laister, S",,,,,,,,,,Selecting sites for large-scale deployment of artificial reefs in Hong Kong: constraint mapping and prioritization techniques,,,,,,,,ICES JOURNAL OF MARINE SCIENCE,,,,59,,,,S164,S170,,,,10.1006/jmsc.2002.1209,,,,,,S,Article; Proceedings Paper,OCT 2002,2002,"We describe the site selection process for artificial reef deployment within an ambitious programme initiated by the Government of the Hong Kong Special Administrative Region to restore fisheries resources and rehabilitate the marine environment. The process was focused on identifying six optimum locations by employing constraint mapping and prioritization criteria. Constraint mapping involved the identification of areas of incompatibility between artificial reefs and existing uses as well as future potential sites. Broad environmental, socio-economic, and cost-efficiency prioritization criteria were applied to the unconstrained areas so that a short-list of the six highest priority sites could be defined. The combination of constraint mapping and prioritization criteria ensured that sites acceptable to a wide range of user groups were selected. (C) 2002 International Council for the Exploration of the Sea. Published by Elsevier Science Ltd. All rights reserved.",,,,,7th International Conference on Artificial Reefs and related Aquatic Habitats7th International Conference on Artificial Reefs and related Aquatic Habitats,"OCT 07-11, 1999OCT 07-11, 1999",ICES; Italian Soc Marine Biol; European Artificial Reef Res Network; Sanremo Congressi Turismo; Univ Geona; Phillips Petr; European Commiss; US Natl Marine Fisheries ServICES; Italian Soc Marine Biol; European Artificial Reef Res Network; Sanremo Congressi Turismo; Univ Geona; Phillips Petr; European Commiss; US Natl Marine Fisheries Serv,"SAN REMO, ITALYSAN REMO, ITALY",15,3,0,0,8,0,19,,,1054-3139,,,,,,,,,,,"Environm Resources Management, ERM, Hong Kong, Hong Kong, Peoples R ChinaAgr Fisheries & Conservat Dept, Cheung Sha Wan Govt Off, Kowloon, Hong Kong, Peoples R China",Environm Resources ManagementAgr Fisheries & Conservat Dept,,,2002-10-01,WOS:000179243500027,,
J,"Epstein, Graham; Smale, Dan A.",,,,"Smale, Daniel/Y-2909-2019","Smale, Daniel/0000-0003-4157-541X; Epstein, Graham/0000-0002-9881-4779",,,,,"Environmental and ecological factors influencing the spillover of the non-native kelp, Undaria pinnatifida, from marinas into natural rocky reef communities",,,,,,,,BIOLOGICAL INVASIONS,,,,20,4,,,1049,1072,,,,10.1007/s10530-017-1610-2,,,,,,,Article,APR 2018,2018,"The non-native kelp, Undaria pinnatifida, is considered one of the world's worst invasive species. The northeast Atlantic is a hotspot of Undaria invasion, yet there is limited knowledge on its invasion dynamics. In the UK its distribution is strongly associated with artificial structures, primarily marina and harbour pontoons, with relatively few records of Undaria on natural substrates. Here, the southwest UK is used as a case region, to explicitly link Undaria distribution-abundance patterns in artificial marina habitats with those in natural rocky reef habitats. Using a mixture of in situ recording and video survey techniques, Undaria was found at all thirteen marina sites surveyed; but in only 17 of 35 rocky reef sites, all of which were in 2 of the 5 larger systems surveyed (Plymouth Sound and Torbay). The distribution-abundance patterns of Undaria at reef sites were analysed using zero-inflated models. The probability of finding Undaria on rocky reef increased with increasing proximity to marinas with high abundances of Undaria. Total propagule pressure from marinas also increased the probability of occurrence, and was positively related to Undaria abundance and cover at reef sites. Increases in the cover of native kelps, Laminaria spp., and wave exposure at reef sites were linked to a reduced probability of Undaria occurrence, and lower abundance and cover. Identifying high risk areas, natural boundaries and factors affecting the spread and abundance of non-native species in natural habitats is key to future management prioritisation. Where Undaria is confined to artificial substrates management may be deemed a low priority. However, the results of this study suggest that controlling the abundance and propagule pressure in artificial habitats may limit, to some extent, the spillover of Undaria into natural rocky reef habitats, where it has the potential to interact with and influence native communities.",,,,,,,,,23,0,0,0,20,0,23,,,1387-3547,1573-1464,,,,,,,,,,"Marine Biol Assoc UK, Citadel Hill, Plymouth PL1 2PB, Devon, EnglandUniv Southampton, Natl Oceanog Ctr Southampton, Ocean & Earth Sci, Waterfront Campus,European Way, Southampton SO14 3ZH, Hants, England",,,,2018-04-01,WOS:000428955000016,31258384,
