Publication Type,Authors,Book Authors,Group Authors,Book Group Authors,Researcher Ids,ORCIDs,Book Editors,Author - Arabic,Grant Principal Investigator,Grant Co Principal Investigator,Article Title,Article Title - SciELO,Article Title - SciELO,Article Title - Chinese,Article Title - Russian,Patent Number,Patent Assignee,Source Title - Arabic,Source Title,Source Title - Korean,Book Series Title,Book Series Subtitle,Volume,Issue,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,Version,Version History,DOI,Book DOI,License Name,License URI,License Description,Early Access Date,Supplement,Document Type,Publication Date,Publication Year,Abstract,Abstract - Foreign,Abstract - English Transliteration,Abstract - Foreign,Abstract - Korean,Conference Title,Conference Date,Conference Sponsor,Conference Location,"Times Cited, WoS Core","Times Cited, CSCD","Times Cited, RSCI","Times Cited, ARCI","Times Cited, BCI","Times Cited, SCIELO","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,ISSN,eISSN,ISBN,Grant Number,No of References,Cited References,Language,Advisor,Committee Member,Copyright,Degree Name,Institution Address,Institution,Dissertation and Thesis Subjects,Author Keywords,Indexed Date,UT (Unique ID),Pubmed Id,
J,"Burkhard, Benjamin; Gee, Kira",,,,"Burkhard, Benjamin/ABF-1090-2021","Burkhard, Benjamin/0000-0001-8636-9009",,,,,Establishing the Resilience of a Coastal-marine Social-ecological System to the Installation of Offshore Wind Farms,,,,,,,,ECOLOGY AND SOCIETY,,,,17,4,,,,,,,,,,,,,,,Article,2012,2012,"Offshore wind farming is a contentious new form of sea use and a prominent driver of change across Europe. Drawing on the results of the research program Zukunft Kuste - Coastal Futures, this contribution considers the resilience of the social-ecological system to the introduction of offshore wind farming in a northern German case study region. We do so by focusing on regime shifts and cross-scale effects, described through the concepts of adaptive cycles and ecosystem services. Offshore wind farming is shown to lead to a potential slow regime shift in the marine ecosystem, as well as a more rapid regime shift in the seascape. These shifts lead to changes in the available ecosystem services and conflicts between new and traditional sea and seascape values. We then explore the impact of these changes on the socioeconomic system on the coast. Against the background of the system's current state and constraints, we argue this impact could be creative and innovative, but this trajectory depends on an internal socio-political shift and willingness to change.",,,,,,,,,16,1,0,0,8,0,18,,,1708-3087,,,,,,,,,,,"Ecol Ctr Kiel, Kiel, GermanyHelmholtz Zentrum Geesthacht, Utrecht, Netherlands",Ecol Ctr KielHelmholtz Zentrum Geesthacht,,,2013-02-20,WOS:000313417400041,,
S,"Allen, JP; Nelson, M; Alling, A",,,,"Nelson, Mark/AAJ-4837-2020",,"Nelson, M; Pechurkin, NS; Dempster, WF; Somova, LA; Shea, MA",,,,The legacy of Biosphere 2 for the study of biospherics and closed ecological systems,,,,,,,,SPACE LIFE SCIENCES: CLOSED ARTIFICIAL ECOSYSTEMS AND LIFE SUPPORT SYSTEMS,,ADVANCES IN SPACE RESEARCH,,31,7,,,1629,1639,,,,10.1016/S0273-1177(03)00103-0,,,,,,,Article; Proceedings Paper,2003,2003,"The unprecedented challenges of creating Biosphere 2, the world's first laboratory for biospherics, the study of global ecology and long-term closed ecological system dynamics, led to breakthrough developments in many fields, and a deeper understanding of the opportunities and difficulties of material closure. This paper will review accomplishments and challenges, citing some of the key research findings and publications that have resulted from the experiments in Biosphere 2. Engineering accomplishments included development of a technique for variable volume to deal with pressure differences between the facility and outside environment, developing methods of atmospheric leak detection and sealing, while achieving new standards of closure, with an annual atmospheric leakrate of less than 10%, or less than 300 ppm per day. This degree of closure permitted detailed tracking of carbon dioxide, oxygen, and trace gases such as nitrous oxide and ethylene over the seasonal variability of two years. Full closure also necessitated developing new approaches and technologies for complete air, water, and wastewater recycle and reuse within the facility. The development of a soil-based highly productive agricultural system was a first in closed ecological systems, and much was learned about managing a wide variety of crops using non-chemical means of pest and disease control. Closed ecological systems have different temporal biogeochemical cycling and ranges of atmospheric components because of their smaller reservoirs of air, water and soil, and higher concentration of biomass, and Biosphere 2 provided detailed examination and modeling of these accelerated cycles over a period of closure which measured in years. Medical research inside Biosphere 2 included the effects on humans of lowered oxygen: the discovery that human productivity can be maintained with good health with lowered atmospheric oxygen levels could lead to major economies on the design of space stations and planetary/lunar settlements. The improved health resulting from the calorie-restricted but nutrient dense Biosphere 2 diet was the first such scientifically controlled experiment with humans. The success of Biosphere 2 in creating a diversity of terrestrial and marine environments from rainforest to coral reef, allowed detailed studies with comprehensive measurements such that the dynamics of these complex biomic systems are now better understood. The coral reef ecosystem, the largest artificial reef ever built, catalyzed methods of study now being applied to planetary coral reef systems. Restoration ecology advanced through the creation and study of the dynamics of adaptation and self-organization of the biomes in Biosphere 2. The international interest that Biosphere 2 generated has given new impetus to the public recognition of the sciences of biospheres (biospherics), biomes and closed ecological life systems. The facility, although no longer a materially-closed ecological system, is being used as an educational facility by Columbia University as an introduction to the study of the biosphere and complex system ecology and for carbon dioxide impacts utilizing the complex ecosystems created in Biosphere 2. The many lessons learned from Biosphere 2 are being used by its key team of creators in their design and operation of a laboratory-sized closed ecological system, the Laboratory Biosphere, in operation as of March 2002, and for the design of a Mars on Earth(TM) prototype life support system for manned missions to Mars and Mars surface habitats.Biosphere 2 is an important foundation for future advances in biospherics and closed ecological system research. (C) 2003 published by Elsevier Science Ltd on behalf of COSPAR.",,,,,Meeting of F4 1 Session of the 34th Scientific Assembly of COSPARMeeting of F4 1 Session of the 34th Scientific Assembly of COSPAR,"OCT, 2002OCT, 2002",Comm Space ResComm Space Res,"HOUSTON, TEXASHOUSTON, TEXAS",28,1,0,0,12,0,34,,,0273-1177,,*************,,,,,,,,,"Biosphere Fdn, Santa Fe, NM 87508 USABiosphere Technol, Santa Fe, NM 87508 USAInst Ecotech, London WC1 3AL, England",Biosphere FdnBiosphere TechnolInst Ecotech,,,2003-01-01,WOS:000184541200001,14503500,
B,"Meyer, Zachary Leo",,,,,,,,,,"A Cultural Landscape Approach to Submerged Cultural Resource Management: Cultural Heritage Ecotourism Opportunities for the Shipwrecks of Lake Union, Seattle, Washington",,,,,,,,,,,,,,,,,,,,,,,,,,,,Dissertation/Thesis,Jan 01 2014,2014,,,,,,,,,,0,0,0,0,0,0,0,,,,,978-1-303-86506-0,,,,,,,,,"University of Washington, Marine & Environmental Affairs, Washington, United States",University of Washington,,,,PQDT:52056794,,
J,"Brownscombe, Jacob W.; Griffin, Lucas P.; Morley, Danielle; Acosta, Alejandro; Hunt, John; Lowerre-Barbieri, Susan K.; Adams, Aaron J.; Danylchuk, Andy J.; Cooke, Steven J.",,,,"Lowerre-Barbieri, Sue/JOZ-3798-2023; Cooke, Steven J/F-4193-2010","Lowerre-Barbieri, Sue/0000-0001-5146-3257; Cooke, Steven J/0000-0002-5407-0659; Morley, Danielle/0000-0001-7286-0606",,,,,Application of machine learning algorithms to identify cryptic reproductive habitats using diverse information sources,,,,,,,,OECOLOGIA,,,,194,1-2,,,283,298,,,,10.1007/s00442-020-04753-2,,,,,OCT 2020,,Article; Early Access,,2020,"Information on ecological systems often comes from diverse sources with varied levels of complexity, bias, and uncertainty. Accordingly, analytical techniques continue to evolve that address these challenges to reveal the characteristics of ecological systems and inform conservation actions. We applied multiple statistical learning algorithms (i.e., machine learning) with a range of information sources including fish tracking data, environmental data, and visual surveys to identify potential spawning aggregation sites for a marine fish species, permit (Trachinotus falcatus), in the Florida Keys. Recognizing the potential complementarity and some level of uncertainty in each information source, we applied supervised (classic and conditional random forests; RF) and unsupervised (fuzzyk-means; FKM) algorithms. The two RF models had similar predictive performance, but generated different predictor variable importance structures and spawning site predictions. Unsupervised clustering using FKM identified unique site groupings that were similar to the likely spawning sites identified with RF. The conservation of aggregate spawning fish species depends heavily on the protection of key spawning sites; many of these potential sites were identified here for permit in the Florida Keys, which consisted of relatively deep-water natural and artificial reefs with high mean permit residency periods. The application of multiple machine learning algorithms enabled the integration of diverse information sources to develop models of an ecological system. Faced with increasingly complex and diverse data sources, ecologists, and conservation practitioners should find increasing value in machine learning algorithms, which we discuss here and provide resources to increase accessibility.",,,,,,,,,14,0,0,0,11,0,14,,,0029-8549,1432-1939,,,,,,,,,,"Carleton Univ, Dept Biol, Fish Ecol & Conservat Physiol Lab, 1125 Colonel Dr, Ottawa, ON K1S 5B6, CanadaDalhousie Univ, Dept Biol, 1355 Oxford St, Halifax, NS B4H 4R2, CanadaUniv Massachusetts, Dept Environm Conservat, 160 Holdsworth Way, Amherst, MA 01003 USAFlorida Fish & Wildlife Conservat Commiss, 2796 Overseas Highway,Suite 119, Marathon, FL 33050 USAFish & Wildlife Res Inst, Florida Fish & Wildlife Conservat Commiss, 100 8th Ave Southeast, St Petersburg, FL 33701 USAUniv Florida, Sch Forest Resources & Conservat, Fisheries & Aquat Sci Program, 7922 Northwest 71st St, Gainesville, FL 32653 USABonefish & Tarpon Trust, 135 San Lorenzo Ave,Suite 860, Coral Gables, FL 33146 USAFlorida Atlantic Univ, Harbor Branch, Oceanog Inst, 5600 North Highway A1A, Ft Pierce, FL USA",Bonefish & Tarpon Trust,,,2020-10-14,WOS:000574309300001,33006076,
J,"Haraldsson, Matilda; Raoux, Aurore; Riera, Fabien; Hay, Julien; Dambacher, Jeffrey M.; Niquil, Nathalie",,,,"Niquil, Nathalie/C-8233-2009",,,,,,"How to model social-ecological systems? - A case study on the effects of a future offshore wind farm on the local society and ecosystem, and whether social compensation matters",,,,,,,,MARINE POLICY,,,,119,,,,,,104031,,,10.1016/j.marpol.2020.104031,,,,,,,Article,SEP 2020,2020,"Models of social-ecological systems (SES) are acknowledged as an important tool to understand human-nature relations. However, many SES models fail to integrate adequate information from both the human and ecological subsystems. With an example model of a future Offshore Wind Farm development and its effects on both the ecosystem and local human population, we illustrate a method facilitating a balanced SES model, in terms of including information from both subsystems. We use qualitative mathematical modeling, which allows to quickly analyze the structure and dynamics of a system without including quantitative data, and therefore to compare alternative system structures based on different understandings of how the system works. By including similar number of system variables in the two subsystems, we balanced the complexity between them. Our analyses show that this complexity is important in order to predict indirect and sometimes counterintuitive effects. We also highlight some conceptually important questions concerning social compensations during developmental projects in general, and wind farms in particular. Our results suggest that the more project holders get involved in various manner in the local socio-ecological system, the more society will benefit as a whole. Increased involvement through e.g. new projects or job-opportunities around the windfarm has the capacity to offset the negative effects of the windfarm on the local community. These benefits are enhanced when there is an overall acceptance and appropriation of the project. We suggest this method as a tool to support the decision-making process and to facilitate discussions between stakeholders, especially among local communities.",,,,,,,,,17,0,0,0,9,0,17,,,0308-597X,1872-9460,,,,,,,,,,"Sorbonne Univ, Univ Caen Normandie, Univ Antilles,CNRS 7208,IRD 207,MNHN,EcoFunc, Res Unit BOREA Biol Aquat Organisms & Ecosyst,CNR, CS 14032, F-14000 Caen, FranceSorbonne Univ, Univ Caen Normandie, Univ Antilles,IRD 207,CNRS 7208, Res Unit BOREA Biol Aquat Organisms & Ecosyst,MNH, 43 Rue Cuvier,CP26, F-75005 Paris, FranceUniv Gothenburg, Dept Marine Sci, Box 461, SE-40530 Gothenburg, SwedenSorbonne Univ, Univ Paris Est Creteil, Univ Paris Diderot, Inst Ecol & Environm Sci Paris,CNRS,INRA,IRD, F-75005 Paris, FranceIUEM, Far View Conseil, LEMAR UMR 6539, Technopole Brest Iroise, F-29280 Plouzane, FranceUniv Brest, IUEM, AMURE, CNRS,Ifremer,UMR 6308, F-29280 Plouzane, FranceCSIRO, Hobart, Tas 7000, Australia",,,,2020-09-15,WOS:000564689000018,,
J,"Martino, Simone; Tett, Paul; Kenter, Jasper",,,,"Kenter, Jasper/AAO-6975-2021","Kenter, Jasper/0000-0002-3612-086X",,,,,"The interplay between economics, legislative power and social influence examined through a social-ecological framework for marine ecosystems services",,,,,,,,SCIENCE OF THE TOTAL ENVIRONMENT,,,,651,,,,1388,1404,,,,10.1016/j.scitotenv.2018.09.181,,,,,,,Article,FEB 15 2019,2019,"In the last 15 years, conservation has shifted increasingly towards perspectives based on the instrumental value of nature, where what counts is what provides benefits to humans. The ecosystem services framework embraces this vision of nature through monetary valuation of the environment to correct market failures and government distortions that hinder efficient allocation of public goods, including goods and services provided by biodiversity and ecosystems. The popularity of this approach is reflected in different countries legislation; for instance, US, EU and UK have introduced economic criteria for comparing costs and benefits of environmental policies in protecting ecosystem services.From an operational perspective, the ecosystem services framework requires ecologists to estimate how the supply of services is affected by changes in the functionality and/or the extent of ecosystems; and economists to identify how changes in the supply affect the flow of direct and indirect benefits to people. However, this approach may be simplistic when faced with the complexity of social-ecological systems. We investigated this for three different marine services: assimilative capacity of waste, coastal defense and renewable energy. We find that economic valuation could provide efficient and fair allocations in the case of assimilative capacity, but leads to social clashes between outputs generated by cost benefit analysis and citizens' expectation in the case of coastal defense. In the case of renewable energy, controversies can be generated by regulatory mechanisms that are not necessarily aligned with the interests of industry or important social groups. We conclude that there is a need to integrate perspectives arising from utilitarian allocation of resources with those involving legislation and communal values in order to reconcile conflicting interests and better sustain marine social-ecological systems. (c) 2018 Elsevier B.V. All rights reserved.",,,,,,,,,16,0,0,0,3,0,16,,,0048-9697,1879-1026,,,,,,,,,,"Laurence Mee Ctr People & Sea, Scottish Assoc Marine Sci, Oban PA37 1QA, Argyll, ScotlandUniv York, Dept Environm & Geog, York YO10 5NG, N Yorkshire, England",,,,2018-12-28,WOS:000447915400136,30360270,
J,"Ballard, Heidi L.; Dixon, Colin G. H.; Harris, Emily M.",,,,,"Harris, Emily/0000-0002-9872-7675",,,,,Youth-focused citizen science: Examining the role of environmental science learning and agency for conservation,,,,,,,,BIOLOGICAL CONSERVATION,,,,208,,SI,,65,75,,,,10.1016/j.biocon.2016.05.024,,,,,,,Article,APR 2017,2017,"Citizen science by youth is rapidly expanding, but very little research has addressed the ways programs meet the dual goals of rigorous conservation science and environmental science education. We examined case studies of youth-focused community and citizen science (CCS) and analyzed the learning processes and outcomes, and stewardship activities for youth, as well as contributions to site and species management, each as conservation outcomes. Examining two programs (one coastal and one water quality monitoring) across multiple sites in the San Francisco Bay Area, CA, in-and out-of-school settings, we qualitatively analyzed in-depth observations and pre- and post-program interviews with youth and educators. First, we examined evidence from the programs' impacts on conservation in the form of contribution to site and species management. We found that youth work informed regional resource management and local habitat improvement. Second, we examined the youth participants' environmental science agency (ESA). ESA combines not only understanding of environmental science and inquiry practices, but also the youths' identification with those practices and their developing belief that the ecosystem is something on which they act. We found that youth developed different aspects of environmental science agency in each context. We identify three key CCS processes through which many of the youth developed ESA: ensuring rigorous data collection, disseminating scientific findings to authentic external audiences, and investigating complex social-ecological systems. Our findings suggest that when CCS programs for youth support these processes, they can foster youth participation in current conservation actions, and build their capacity for future conservation actions. (c) 2016 The Authors. Published by Elsevier Ltd.",,,,,,,,,162,0,0,0,54,1,196,,,0006-3207,1873-2917,,,,,,,,,,"Univ Calif Davis, Sch Educ, One Shields Ave, Davis, CA 95616 USA",,,,2017-04-01,WOS:000399859000008,,
J,"Elwin, Angie Mary",,,,,,,,,,Social-ecological resilience of mangrove-shrimp farming communities in Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dissertation/Thesis,Jan 01 2019,2019,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,"The University of Reading (United Kingdom), England",The University of Reading (United Kingdom),,,,PQDT:68050858,,
J,"Piet, Gerjan; Culhane, Fiona; Jongbloed, Ruud; Robinson, Leonie; Rumes, Bob; Tamis, Jacqueline",,,,,"Tamis, Jacqueline/0000-0002-8206-5830; Rumes, Bob/0000-0001-8549-6743; Culhane, Fiona/0000-0002-0488-1277; Jongbloed, Ruud/0000-0002-9378-5382",,,,,An integrated risk-based assessment of the North Sea to guide ecosystem-based management,,,,,,,,SCIENCE OF THE TOTAL ENVIRONMENT,,,,654,,,,694,704,,,,10.1016/j.scitotenv.2018.11.001,,,,,,,Article,MAR 1 2019,2019,"This study provides an integrated perspective to ecosystem based management (EBM) by considering a diverse array of societal goals, i.e. sustainable food supply, clean energy and a healthy marine ecosystem, and a selection of management measures to achieve them. The primary aim of this exercise is to provide guidance for (more) integrated EBM in the North Sea based on an evaluation of the effectiveness of those management measures in contributing to the conservation of marine biodiversity. A secondary aim is to identify the requirements of the knowledge base to guide such future EBM initiatives.Starting from the societal goals we performed a scoping exercise to identify a focal social-ecological system which is a subset of the full social-ecological system but considered adequate to guide EBM towards the achievement of those societal goals. A semi-quantitative risk assessment including all the relevant human activities, their pressures and the impacted ecosystem components was then applied to identify the main threats to the North Sea biodiversity and evaluate the effectiveness of the management measures to mitigate those threats.This exercise revealed the need for such risk-based approaches in providing a more integrated perspective but also the trade-off between being comprehensive but qualitative versus quantitative but limited in terms of the focal part of the SES that can be covered. The findings in this paper provide direction to the (further) development of EBM and its knowledge base that should ultimately allow an integrated perspective while maintaining its capacity to deliver the accuracy and detail needed for decision-making. (C) 2018 Wageningen UR Instritute for Marine resources and Ecosystem studies. Published by Elsevier B.V.",,,,,,,,,23,0,0,0,11,1,23,,,0048-9697,1879-1026,,,,,,,,,,"Wageningen Marine Res, Haringkade 1, NL-1976 CP Ijmuiden, NetherlandsUniv Liverpool, Dept Earth Ocean & Ecol Sci, Nicholson Bldg, Liverpool L69 3GP, Merseyside, EnglandRoyal Belgian Inst Nat Sci, Rue Vautier 29, Brussels, Belgium",,,,2019-02-27,WOS:000458630100060,30448660,
J,"Forbes, Bruce C.",,,,"Forbes, Bruce C./L-4431-2013","Forbes, Bruce C./0000-0002-4593-5083",,,,,"Cultural Resilience of Social-ecological Systems in the Nenets and Yamal-Nenets Autonomous Okrugs, Russia: A Focus on Reindeer Nomads of the Tundra",,,,,,,,ECOLOGY AND SOCIETY,,,,18,4,,,,,36,,,10.5751/ES-05791-180436,,,,,,,Article,2013,2013,"Empirical data on resilience in social-ecological systems (SESs) are reviewed from local and regional scale case studies among full-time nomads in the neighboring Nenets and Yamal-Nenets Autonomous Okrugs, Russia. The focus is on critical cultural factors contributing to SES resilience. In particular, this work presents an integrated view of people situated in specific tundra landscapes that face significantly different prospects for adaptation depending on existing or planned infrastructure associated with oil and gas development. Factors contributing to general resilience are compared to those that are adapted to certain spatial and temporal contexts. Environmental factors include ample space and an abundance of resources, such as fish and game (e. g., geese), to augment the diet of not only the migratory herders, but also residents from coastal settlements. In contrast to other regions, such as the Nenets Okrug, Yamal Nenets households consist of intact nuclear families with high retention among youth in the nomadic tundra population. Accepting attitudes toward exogenous drivers such as climate change and industrial development appear to play a significant role in how people react to both extreme weather events and piecemeal confiscation or degradation of territory. Consciousness of their role as responsible stewards of the territories they occupy has likely been a factor in maintaining viable wildlife populations over centuries. Institutions administering reindeer herding have remained flexible, especially on Yamal, and so accommodate decision-making that is sensitive to herders' needs and timetables. This affects factors such as herd demography, mobility and energetics. Resilience is further facilitated within the existing governance regimes by herders' own agency, most recently in the post-Soviet shift to smaller, privately managed herds that can better utilize available pastures in a highly dynamic environment experiencing rapid socio-economic, climate and land use change.",,,,,,,,,45,0,2,0,15,0,50,,,1708-3087,,,,,,,,,,,"Univ Lapland, Arctic Ctr, Rovaniemi, Finland",,,,2014-02-05,WOS:000329431700036,,
