Publication Type,Authors,Book Authors,Group Authors,Book Group Authors,Researcher Ids,ORCIDs,Book Editors,Author - Arabic,Grant Principal Investigator,Grant Co Principal Investigator,Article Title,Article Title - SciELO,Article Title - SciELO,Article Title - Chinese,Article Title - Russian,Patent Number,Patent Assignee,Source Title - Arabic,Source Title,Source Title - Korean,Book Series Title,Book Series Subtitle,Volume,Issue,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,Version,Version History,DOI,Book DOI,License Name,License URI,License Description,Early Access Date,Supplement,Document Type,Publication Date,Publication Year,Abstract,Abstract - Foreign,Abstract - English Transliteration,Abstract - Foreign,Abstract - Korean,Conference Title,Conference Date,Conference Sponsor,Conference Location,"Times Cited, WoS Core","Times Cited, CSCD","Times Cited, RSCI","Times Cited, ARCI","Times Cited, BCI","Times Cited, SCIELO","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,ISSN,eISSN,ISBN,Grant Number,No of References,Cited References,Language,Advisor,Committee Member,Copyright,Degree Name,Institution Address,Institution,Dissertation and Thesis Subjects,Author Keywords,Indexed Date,UT (Unique ID),Pubmed Id,,,,
J,"Salomidi, M.; Katsanevakis, S.; Borja, A.; Braeckman, U.; Damalas, D.; Galparsoro, I.; Mifsud, R.; Mirto, S.; Pascual, M.; Pipitone, C.; Rabaut, M.; Todorova, V.; Vassilopoulou, V.; Vega Fernandez, T.",,,,"Katsanevakis, Stelios/AAD-8289-2020; Pascual, Marta/H-8974-2013; Fernández, Tomás Vega/AAT-5972-2020; Katsanevakis, Stelios/AGR-7012-2022; Galparsoro, Ibon/B-8386-2009; Borja, Angel/I-3665-2018; Rabaut, Marijn/A-2726-2009; Todorova, Valentina/A-3230-2016; Pipitone, Carlo/B-7562-2015; Mirto, Simone/B-7474-2016","Fernández, Tomás Vega/0000-0002-8788-4253; Katsanevakis, Stelios/0000-0002-5137-7540; Galparsoro, Ibon/0000-0002-5031-525X; Borja, Angel/0000-0003-1601-2025; Todorova, Valentina/0000-0002-2679-5062; Salomidi, Maria/0000-0002-7514-3562; Pipitone, Carlo/0000-0002-7632-1228; Braeckman, Ulrike/0000-0002-7558-6363; Mirto, Simone/0000-0003-4707-7307",,,,,"Assessment of goods and services, vulnerability, and conservation status of European seabed biotopes: a stepping stone towards ecosystem-based marine spatial management",,,,,,,,MEDITERRANEAN MARINE SCIENCE,,,,13,1,,,49,88,,,,10.12681/mms.23,,,,,,,Review,JUN 2012,2012,"The goal of ecosystem-based marine spatial management is to maintain marine ecosystems in a healthy, productive and resilient condition; hence, they can sustainably provide the needed goods and services for human welfare. However, the increasing pressures upon the marine realm threaten marine ecosystems, especially seabed biotopes, and thus a well-planned approach of managing use of marine space is essential to achieve sustainability. The relative value of seabed biotopes, evaluated on the basis of goods and services, is an important starting point for the spatial management of marine areas. Herein, 56 types of European seabed biotopes and their related goods, services, sensitivity issues, and conservation status were compiled, the latter referring to management and protection tools which currently apply for these biotopes at European or international level. Fishing activities, especially by benthic trawls, and marine pollution are the main threats to European seabed biotopes. Increased seawater turbidity, dredged sediment disposal, coastal constructions, biological invasions, mining, extraction of raw materials, shipping-related activities, tourism, hydrocarbon exploration, and even some practices of scientific research, also exert substantial pressure. Although some first steps have been taken to protect the European sea beds through international agreements and European and national legislation, a finer scale of classification and assessment of marine biotopes is considered crucial in shaping sound priorities and management guidelines towards the effective conservation and sustainability of European marine resources.",,,,,,,,,117,0,0,0,79,0,118,,,1108-393X,,,,,,,,,,,"HCMR, Anavyssos 19013, GreeceEuropean Commiss, Joint Res Ctr, Inst Environm & Sustainabil, Ispra, ItalyAZTI Tecnalia Marine Res Div, Pasaia 20110, SpainGhent Univ UGent, Dept Biol, B-9000 Ghent, BelgiumEuropean Commiss, Joint Res Ctr, IPSC Maritime Affairs Unit, I-21027 Ispra, VA, ItalyMRRA, Capture Fisheries Sect, Ft San Lucjan 1283, Marsaxlokk Bbg, MaltaUOS Messina, CNR, IAMC, I-98122 Messina, ItalyCNR, IAMC, I-91014 Castellammare Del Golfo, TP, ItalyBulgarian Acad Sci, Inst Oceanol, Varna 9000, Bulgaria",MRRA,,,2012-06-01,WOS:000306303500006,,,,,
C,"Fajry, Fidel Rezki; Garniwa, Iwa; Tofani, Achmad Fajar",,,,,,"Martiningsih, W; Wiryadinata, R; Praptodiyono, S; Santoso, MI; Saraswati, I",,,,"Techno Economic Analysis of Hybrid Sea Floating Photovoltaic and Wind Turbine for Fish Cold Storage At Remote Island In Indonesia (Case Study: Small Kei Island, Maluku, Indonesia)",,,,,,,,"1ST INTERNATIONAL CONFERENCE ON INDUSTRIAL, ELECTRICAL AND ELECTRONICS (ICIEE 2018)",,MATEC Web of Conferences,,218,,,,,,1001,,,10.1051/matecconf/201821801001,,,,,,,Proceedings Paper,2018,2018,"Most of fisherman in Small Kei Island, Indonesia, are difficult to keep the good quality of fish for several days because unavailability of Fish Cold Storage. Due to the area is also far from grid, this paper is aimed to analyse the most optimized sizing of integrating the new technology of sea floating photovoltaic and wind turbine to achieve the minimal levelized cost of energy for powering 100 tons of fish cold storage. Ten scenarios with implemented off-grid scheme by dividing battery bank into two equal parts that will be operated interchangeably to meet 24 hours load requirement on hybrid sea floating photovoltaic and wind turbine system are performed. As result, 100 kW of wind turbine and 803kWp of sea floating photovoltaic are chosen with the most minimal levelized cost of energy of USD 0.52/kWH by life cycle cost method of 20 years. With define electricity tariff of USD 0.81/kWH and interest loan of 9%, the economic analysis result fulfil of four indicators requirement with payback period of 6 years 6 months 20 days, net present value of USD 10,981, internal rate of return of 9.10%, and profitability index of 1.60.",,,,,"1st International Conference on Industrial, Electrical and Electronics (ICIEE)1st International Conference on Industrial, Electrical and Electronics (ICIEE)","SEP 04-05, 2018SEP 04-05, 2018","Univ Sultan Ageng Tirtayasa, Dept Elect EngnUniv Sultan Ageng Tirtayasa, Dept Elect Engn","Anyer, INDONESIAAnyer, INDONESIA",0,0,0,0,0,0,0,,,2261-236X,,*****************,,,,,,,,,"Univ Indonesia, Dept Elect Engn, Jakarta, Indonesia",,,,2019-09-11,WOS:000482975500001,,,,,
J,"LEAHY, JG; SOMERVILLE, CC; CUNNINGHAM, KA; ADAMANTIADES, GA; BYRD, JJ; COLWELL, RR",,,,,,,,,,HYDROCARBON MINERALIZATION IN SEDIMENTS AND PLASMID INCIDENCE IN SEDIMENT BACTERIA FROM THE CAMPECHE BANK,,,,,,,,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,,,,56,6,,,1565,1570,,,,10.1128/AEM.56.6.1565-1570.1990,,,,,,,Article,JUN 1990,1990,,,,,,,,,,15,0,0,0,3,0,16,,,0099-2240,1098-5336,,,,,,,,,,"UNIV MARYLAND, DEPT MICROBIOL, COLLEGE PK, MD 20742 USA",,,,1990-06-01,WOS:A1990DG92200011,16348204,,,,
J,"Mantelatto, Marcelo Checoli; Povoa, Alain Alves; Skinner, Luis Felipe; de Araujo, Fabio Vieira; Creed, Joel Christopher",,,,"Povoa, Alain Alves/AFO-2340-2022; Skinner, Luis Felipe/W-3232-2019; Creed, Joel/C-4764-2013","Skinner, Luis Felipe/0000-0003-0971-4870; Povoa, Alain/0000-0001-8150-0442; Creed, Joel/0000-0002-1722-0806",,,,,Marine litter and wood debris as habitat and vector for the range expansion of invasive corals (Tubastraea spp.),,,,,,,,MARINE POLLUTION BULLETIN,,,,160,,,,,,111659,,,10.1016/j.marpolbul.2020.111659,,,,,,,Article,NOV 2020,2020,"Tubastraea coccinea Lesson, 1830 and T. tagusensis Wells 1982 are azooxanthellate corals non-native to Brazil and introduced through fouling on oil platforms, the primary vector. They first invaded the tropical rocky reefs at Ilha Grande Bay (southwest Atlantic Ocean), during the early 1990s. Currently, at some Brazilian locations these species occupy 80% of the benthos of the shallow subtidal. They cause economic and environmental impacts by fouling shipping and modifying native communities. This study provides observations of an additional mechanism of secondary dispersal by T. coccinea and T. tagusensis that were seen attached to floating wood debris and marine litter, which are highly abundant in the region. Such rafting corals have been found adjacent to invaded reefs and stranded on beaches. These observations indicate that transport by rafting over long distances may be another mechanism of range expansion and secondary introduction of these invasive species within the region.",,,,,,,,,39,0,0,0,35,1,39,,,0025-326X,1879-3363,,,,,,,,,,"Univ Estado Rio de Janeiro, PHLC, Dept Ecol, Lab Ecol Marinha Bent,IBRAG, Rua Francisco Xavier 524,Sala 220, BR-20550900 Rio De Janeiro, RJ, BrazilCoral Sol Res Technol Dev & Innovat Network, Rio De Janeiro, BrazilUniv Fed Fluminense, Inst Biol, Programa Pos Grad Biol Marinha & Ambientes Costei, Outeiro Sao Joao Batista S-N, BR-24020971 Niteroi, RJ, BrazilUniv Estado Rio de Janeiro, Fac Formacao Prof, Dept Ciencias, Rua Francisco Portela 1470, BR-24435005 Sao Goncalo, RJ, BrazilUniv Estado Rio de Janeiro, Inst Biol Roberto Alcantara Gomes, Dept Ecol, Rua Francisco Xavier 524,Sala 220, BR-20550900 Rio De Janeiro, RJ, Brazil",Coral Sol Res Technol Dev & Innovat Network,,,2020-11-01,WOS:000587625100005,33181936,,,,
J,"Kilgour, Morgan J.; Shirley, Thomas C.",,,,"Shirley, Thomas C/W-5114-2017",,,,,,Bathymetric and spatial distribution of decapod crustaceans on deep-water shipwrecks in the Gulf of Mexico,,,,,,,,BULLETIN OF MARINE SCIENCE,,,,82,3,,,333,344,,,,,,,,,,,Article,MAY 2008,2008,"The decapod fauna of six World War II shipwrecks at depths from 75 to 2000 m was examined in 2004 in the northern Gulf of Mexico. A remotely operated vehicle (ROV) was used to conduct video transects on the wrecks and through the adjacent debris fields. Shipwrecks were used as surrogates for deep-sea drilling platforms to determine if structures in deep waters serve as artificial reefs. We focused on two genera and three species of decapod crustaceans: Munidopsis spp., Munida spp., Eumunida picta S. I. Smith, 1883, Rochinia crassa Milne-Edwards, 1879, and Chaceon quinquedens (S. I. Smith, 1879). Differences in abundance m(-2) were compared among three locations (on, near, and away from [> 300 m] the wreck) to determine if the presence of the wrecks affected crab distributions. The two most abundant crab species were observed only at four of the six shipwrecks, and two species were observed at a single site. All crabs, except R. crassal had no spatial correlation to proximity of the wreck; however, crab abundance varied significantly on different substrates. Crab abundance was significantly correlated with depth; some species were stenobathyal while others were eurybathyal, but all species were found within their previously reported depth ranges. Drilling structures act as artificial reefs/aggregation sites in the deep sea for some species, but not others.",,,,,,,,,7,0,0,0,7,0,8,,,0007-4977,,,,,,,,,,,"Texas A&M Univ, Harte Res Inst Gulf Mexico Studies, Corpus Christi, TX 78412 USA",,,,2008-05-01,WOS:000256901600005,,,,,
J,"Boucher, G.",,,,,,,,,,Effets a long terme des hydrocarbures de l'Amoco Cadiz sur la structure des communautes de nematodes libres des sables fins sublittoraux.,,,,,,,,Travaux de la Station Biologique de Roscoff,,,,28,,,,11pp,11pp,,,,,,,,,,,Article,1982,1982,,,,,,,,,,0,0,0,0,0,0,0,,,0373-3572,,,,,,,,,,,,,,,1982-01-01,ZOOREC:ZOOR12100058395,,,,,
J,"Pires Teixeira, Larissa Marques; Creed, Joel Christopher",,,,"Marques Pires Teixeira, Larissa/HNS-3710-2023","Marques Pires-Teixeira, Larissa/0000-0001-5885-7777",,,,,A decade on: an updated assessment of the status of marine non-indigenous species in Brazil,,,,,,,,AQUATIC INVASIONS,,,,15,1,SI,,30,43,,,,10.3391/ai.2020.15.1.03,,,,,,,Article; Proceedings Paper,MAR 2020,2020,"In order to prevent the introduction, control or eradicate non-indigenous species (NIS) which threaten native species, habitats or ecosystems, an essential first step is that countries have and keep up-to-date lists of species non-indigenous to the region. The last list of marine NIS for Brazil was published a decade ago. We compiled an updated list of marine NIS and revised the species' statuses. One-hundred-thirty-eight marine species in 15 classes or functional groups are NIS in Brazil. Brazilian states with greater maritime commerce (greater market share) had more marine NIS. From the period between the 1950s to 2010, the number of NIS at least doubled each decade. We identified a significant mismatch (underestimation) between the previous list and this study, which seemed to be due to improved scientific knowledge and an often considerable lag between first record (detection), identification and communication of new marine NIS. Currently Brazil has 19 invasive, 76 established and 43 detected marine NIS, an increase of 160% in ten years compared to the previous national list. We recommend that Brazil implements a national database as a rapid, appropriate, flexible and cost effective method of monitoring trends in NIS introductions.",,,,,10th International Conference on Marine Bioinvasions (ICMB)10th International Conference on Marine Bioinvasions (ICMB),"OCT 16-19, 2018OCT 16-19, 2018",,"Puerto Madryn, ARGENTINAPuerto Madryn, ARGENTINA",30,0,0,0,27,2,31,,,1798-6540,1818-5487,,,,,,,,,,"Univ Estado Rio De Janeiro, Programa Posgrad Ecol & Evolucao, Rua Francisco Xavier 524, BR-20559900 Rio De Janeiro, RJ, BrazilUniv Estado Rio De Janeiro, Dept Ecol, Rua Sao Francisco Xavier 524, BR-20550900 Rio De Janeiro, RJ, BrazilInst Brasileiro Biodiversidade BrBio, Coral Sol Res Technol Dev & Innovat Network, Rua Senador Dantas,20 Grp 1509, BR-20031205 Rio De Janeiro, RJ, Brazil",Inst Brasileiro Biodiversidade BrBio,,,2020-07-24,WOS:000548000700003,,,,,
C,"Lepper, P. A.; Theobald, P. D.; Robinson, S. P.; Pangerc, T.",,,IEEE,"Lepper, Paul/JNS-9859-2023",,,,,,Significance of dynamic variation in renewable energy device noise to background noise levels under varying conditions,,,,,,,,2014 OCEANS - ST. JOHN'S,,OCEANS-IEEE,,,,,,,,,,,,,,,,,,Proceedings Paper,2014,2014,"Assessment of the potential impact of underwater acoustic noise from both construction and operation of almost all human marine activities is now commonplace within many international regulatory frameworks. More recent industries like offshore renewables (wind, wave and tidal) have experienced an increasing requirement to understand how their energy conversion devices interact with existing acoustic environments and what their potential for impacts might be. Assessing the potential for impact, however, results in a number of measurement challenges, for example, many of these devices represent highly complex, multi-modal, distributed sources which can be anything from arrays of many small (few meters) devices to larger systems with dimensions of hundreds of meters. The systems can also vary in nature from a floating device, for example a wave energy surface attenuator, or can be distributed throughout the water column, as can be the case for both wave and tidal systems, or wind turbine. In the case of an offshore wind turbine for example, the device is coupled to the seabed, and extends throughout the water column and in to the air. This distribution and configuration can make the measured acoustic characteristics strongly dependent on the environment, with the potential for propagation through the seabed, water and air, with complex interactions, particularly between the seabed and waterborne components of the sound.The environments themselves are also often acoustically complicated. For example, many of the devices are being developed in relatively shallow water where there is often strong bathymetric variation, and other natural and manmade noise sources. The devices themselves often also exhibit time variant characteristics. They can become more energetic with tidal speed, wave height wind speed increase, for example. Furthermore, these properties also alter the 'natural' acoustic environment or baseline condition.The relationship between device noise and background or ambient noise is also likely to be fundamental to the effect these devices have on marine species, for example, by causing a change in behaviour or creating a masking effect. It may effect the detection capability of an animal, which may be important for collision avoidance. This paper discusses analysis of some of these challenges in the context of a number of emerging technology types. In particular, the paper considers the dynamically varying nature of the ratio of the noise radiated from the device to the background noise. Data is presented of the operational noise levels against the background noise levels, under different seastates for a full-scale attenuator wave energy system.",,,,,Oceans ConferenceOceans Conference,"SEP 14-19, 2014SEP 14-19, 2014",,"St Johns, CANADASt Johns, CANADA",0,0,0,0,0,0,0,,,0197-7385,,978-1-4799-4918-2,,,,,,,,,"Univ Loughborough, Loughborough, Leics, EnglandNatl Phys Lab, Acoust Grp, Teddington TW11 0LW, Middx, England",,,,2014-01-01,WOS:000369848800180,,,,,
J,"Wilding, Thomas A.; Gill, Andrew B.; Boon, Arjen; Sheehan, Emma; Dauvin, Jean-Claude; Pezy, Jean-Philippe; O'Beirn, Francis; Janas, Urszula; Rostin, Liis; De Mesel, Ilse",,,,"Wilding, Tom/AAN-8904-2020; Pezy, Jean-Philippe/B-3730-2018; Gill, Andrew/ABE-1092-2020; Boon, Arjen/A-7257-2010; Boon, Arjen/AAA-2479-2020","Pezy, Jean-Philippe/0000-0002-8293-5090; Gill, Andrew/0000-0002-3379-6952; Boon, Arjen/0000-0003-2614-5024; Wilding, Thomas/0000-0002-4946-4020; Sheehan, Emma/0000-0002-1066-8237",,,,,"Turning off the DRIP ('Data-rich, information-poor') - rationalising monitoring with a focus on marine renewable energy developments and the benthos",,,,,,,,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,,,,74,,,,848,859,,,,10.1016/j.rser.2017.03.013,,,,,,,Review,JUL 2017,2017,"Marine renewable energy developments (MREDs) are rapidly expanding in size and number as society strives to maintain electricity generation whilst simultaneously reducing climate-change linked CO2 emissions. MREDs are part of an ongoing large-scale modification of coastal waters that also includes activities such as commercial fishing, shipping, aggregate extraction, aquaculture, dredging, spoil-dumping and oil and gas exploitation. It is increasingly accepted that developments, of any kind, should only proceed if they are ecologically sustainable and will not reduce current or future delivery of ecosystem services. The benthos underpins crucial marine ecosystem services yet, in relation to MREDs, is currently poorly monitored: current monitoring programmes are extensive and costly yet provide little useful data in relation to ecosystem-scale-related changes, a situation called 'data-rich, information-poor' (DRIP). MRED -benthic interactions may cause changes that are of a sufficient scale to change ecosystem services provision, particularly in terms of fisheries and biodiversity and, via trophic linkages, change the distribution of fish, birds and mammals. The production of DRIPy data should be eliminated and the resources used instead to address relevant questions that are logically bounded in time and space. Efforts should target identifying metrics of change that can be linked to ecosystem function or service provision, particularly where those metrics show strongly non-linear effects in relation to the stressor. Future monitoring should also be designed to contribute towards predictive ecosystem models and be sufficiently robust and understandable to facilitate transparent, auditable and timely decision-making.",,,,,,,,,49,0,0,0,24,0,51,,,1364-0321,,,,,,,,,,,"SAMS, Scottish Marine Inst, Oban PA37 1QA, Argyll, ScotlandCranfield Univ, Ctr Offshore Renewable Energy & Engn, Sch Water Energy & Environm, Bldg 52, Cranfield MK43 0AL, Beds, EnglandDeltares, Delft, NetherlandsPlymouth Univ, Marine Inst, Sch Biol & Marine Sci, Plymouth PL4 8AA, Devon, EnglandNormandie Univ, UNICAEN, UMR UCN M2C, UR,CNRS 6143, 24 Rue Tilleuls, F-14000 Caen 5, FranceMarine Inst, Galway, IrelandUniv Gdansk, Inst Oceanog, Al Marsz Pilsudskiego 46, Gdynia, PolandUniv Tartu, Estonian Marine Inst, Maealuse 14, EE-12618 Tallinn, EstoniaRoyal Belgian Inst Nat Sci RBINS, Operat Directorate Nat Environm Marine Ecol & Man, 3e 23e Linieregimentspl, B-8400 Oostende, Belgium",SAMS,,,2017-06-09,WOS:000401492900061,,,,,
J,"Orlowski, Andrzej",,,,,,,,,,Acoustic information applied to 4D environmental studies in the Baltic,,,,,,,,OCEANOLOGIA,,,,48,4,,,509,524,,,,,,,,,,,Article,2006,2006,"Since 1981. acoustic information collected in the form of calibrated measurements of integrated echo energy has been applied at the Sea Fisheries Institute to observe the relationships between fish distribution and environmental factors. Data gathered in different: seasons for e each elementary distance unit (EDSU) at standardised depth intervals were compared to the values of selected environmental parameters measured in parallel. Acoustic, biological and hydrological data were correlated ill space and transferred to the complex database, enabling 4D analysis of numerous factors characterising a wide range of fish behaviour. A number of methods and standards of comparisons are described to explain how to improve understanding of the relationship between 3D spatial environmental gradients and fish distributions. The results of various case studies, including the influence of hydrologic and seabed characterising factors, illustrate the practical application and validity of the methods. Particular attention is given to indicator's of the dependence of local fish biomass density oil the temperature structure in the sea.",,,,,,,,,1,0,0,0,1,0,1,,,0078-3234,2300-7370,,,,,,,,,,"Sea Fisheries Res Inst, PL-81332 Gdynia, Poland",Sea Fisheries Res Inst,,,2006-01-01,WOS:000243442000003,,,,,
