Publication Type,Authors,Book Authors,Group Authors,Book Group Authors,Researcher Ids,ORCIDs,Book Editors,Author - Arabic,Grant Principal Investigator,Grant Co Principal Investigator,Article Title,Article Title - SciELO,Article Title - SciELO,Article Title - Chinese,Article Title - Russian,Patent Number,Patent Assignee,Source Title - Arabic,Source Title,Source Title - Korean,Book Series Title,Book Series Subtitle,Volume,Issue,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,Version,Version History,DOI,Book DOI,License Name,License URI,License Description,Early Access Date,Supplement,Document Type,Publication Date,Publication Year,Abstract,Abstract - Foreign,Abstract - English Transliteration,Abstract - Foreign,Abstract - Korean,Conference Title,Conference Date,Conference Sponsor,Conference Location,"Times Cited, WoS Core","Times Cited, CSCD","Times Cited, RSCI","Times Cited, ARCI","Times Cited, BCI","Times Cited, SCIELO","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,ISSN,eISSN,ISBN,Grant Number,No of References,Cited References,Language,Advisor,Committee Member,Copyright,Degree Name,Institution Address,Institution,Dissertation and Thesis Subjects,Author Keywords,Indexed Date,UT (Unique ID),Pubmed Id,
J,"Hueppop, Ommo; Hueppop, Kathrin; Dierschke, Jochen; Hill, Reinhold",,,,,,,,,,Bird collisions at an offshore platform in the North Sea,,,,,,,,BIRD STUDY,,,,63,1,,,73,82,,,,10.1080/00063657.2015.1134440,,,,,,,Article,JAN 2 2016,2016,"Capsule Collisions with offshore structures in the North Sea could account for the mortality of hundreds of thousands of nocturnally migrating birds.Aims To assess, for the first time, the circumstances of mass fatalities at an offshore structure, including the species involved, their numbers, ages, body conditions and injuries.Methods At an unmanned tall offshore research platform in the southeastern North Sea, bird corpses were collected on 160 visiting days from October 2003 to December 2007. Corpses were identified to species and kinds of injury, ages, and fat and muscle scores were determined. Nocturnal bird calls were recorded, identified to species and quantified. Local and large-scale weather parameters were also considered.Results A total of 767 birds of 34 species, mainly thrushes, European Starlings and other passerines, were found at 45 visits. Most carcasses were in good body condition and young birds were not more affected than adults. Three quarters of 563 examined individuals had collision induced injuries. Birds in poor body condition were less likely to be collision victims than those in good condition. Mass collision events at the illuminated offshore structure coincided with increasingly adverse weather conditions and an increasing call intensity of nocturnal birds.Conclusions Assuming an average of 150 dead birds per year at this single offshore structure and additionally assuming that a considerable proportion of the corpses were not found, we estimate that mortality at the 1000 + human structures in the North Sea could reach hundreds of thousands of birds. Since offshore industrialization will progress and collision numbers at offshore turbines will consequently increase considerably, we recommend reinforced measures to reduce bird strikes at offshore structures, especially in the light of substantial declines in some migrant species.",,,,,,,,,21,0,0,0,19,0,23,,,0006-3657,1944-6705,,,,,,,,,,"Inst Avian Res, Vogelwarte 21, Wilhelmshaven, GermanyAvitec Res, Sachsenring 11, D-27711 Osterholz Scharmbeck, Germany",Inst Avian ResAvitec Res,,,2016-04-06,WOS:000372039300009,,
J,"Turrell, W. R.",,,,"Turrell, William R/C-3827-2016","Turrell, William/0000-0002-1889-1468",,,,,How litter moves along a macro tidal mid-latitude coast exposed to a coastal current,,,,,,,,MARINE POLLUTION BULLETIN,,,,160,,,,,,111600,,,10.1016/j.marpolbul.2020.111600,,,,,,,Article,NOV 2020,2020,"A simplified particle-tracking model with an idealised coastline was used to investigate how the interaction between variable winds and water level (VaWWL) operates spatially along a coast. The model included a constant along-coast current, horizontal diffusion, onshore/offshore wind drift, beach/cliff combinations and point/distributed litter sources. The default model reproduced basic properties of observed beach litter loadings (zero net accumulation, negatively skewed loading distributions) and the observed spatial pattern along the Scottish east coast, with average loadings increasing in the coastal current direction. The VaWWL effect moved the along-coast flux of floating litter offshore as debeaching events occur during offshore winds. Varying diffusion, coastal current speed, windage, beach/cliff com-binations and different foreshore boundary conditions were investigated. Reconciling model predictions with previous estimates of plastic inflow suggested sinking rates of up to 90% soon after first entry into the sea. The VaWWL effect offers a realistic boundary condition for particle-tracking models.",,,,,,,,,9,0,0,0,7,0,9,,,0025-326X,1879-3363,,,,,,,,,,"Marine Scotland Sci, Marine Lab, Aberdeen AB11 9DB, Scotland",,,,2020-11-24,WOS:000587624600002,32871434,
J,"Brendel, Andrea Soledad; Dutto, Maria Sofia; Menendez, Maria Clara; Huamantinco Cisneros, Maria Andrea; Piccolo, Maria Cintia",,,,,"Dutto, Sofia/0000-0002-2391-963X",,,,,Wind Pattern Change Along a Period of Coastal Occurrence Variation of a Stinging Medusa on a SW Atlantic Beach.,,,,,,,,Anuario do Instituto de Geociencias,,,,40,3,,,303,315,,,,,,,,,,,Article,2017,2017,"Monte Hermoso (SW Atlantic, Argentina) is a coastal ecosystem highly modulated by wind forcing. Offshore winds have historically played a leading role in the tourist influx as they are associated with the occurrence of the endemic stinging medusa Olindias sambaquiensis. This species is closely related to warm summers but it could be favored by low temperatures in previous winters. Since summer 2013, a change in the wind pattern was locally perceived coincidently with the absence of the medusa in coastal waters. This work aimed at analyzing if wind pattern and sea surface temperature (SST) showed a measurable change along 2008-2015 and evaluating if this change can be associated to the observed variations in the occurrence pattern of O. sambaquiensis. Winds and SST data were analyzed in periods of high (2008-2012) and low (2013-2015) medusae occurrence, based on media and own observations. A significant change in the wind pattern in Monte Hermoso was detected. Wind speed decreased from 6.3 m s-1 in 2008 to 2.4 m s-1 in 2015 and calms and light winds increased by more than 44.2 and 7.5 %, respectively. This change implied an impediment of coastal upwelling, which is the physical process by which medusae reach the coast, and is associated with persistent (10 h or more) WNW to ENE winds blowing at = 3.3 m s-1. Accordingly, in summer 2008 (period of high medusae occurrence), 45 coastal upwelling-days were detected in contrast to only 8 days in summer 2015 (period of absence of medusae). Also, positive SST anomalies were found over the 8-yr period, suggesting an increasing trend of 0.4 [degree]C. Higher temperatures than normal during recent winters probably affect negatively the polyp reproduction. Our results demonstrate an environmental change in the ecosystem of Monte Hermoso and may explain, in part, the low occurrence of O. sambaquiensis in recent summers. The knowledge of the factors that regulate the occurrence of O. sambaquiensis is fundamental for developing a coastal management plan and/or for determining the first adaptation strategies.",,,,,,,,,6,0,0,0,4,0,6,,,0101-9759; 1982-3908,,,,,,,,,,,"Univ Nacl Sur, Inst Argentino Oceanog, Camino La Carrindanga,Km 7,Edificio E1,CC 804, Bahia Blanca, Buenos Aires, Argentina",,,,2018-07-24,ZOOREC:ZOOR15407038763,,
J,,,,,,,,,"Firestone, Jeremy","Ram, Bonnie; Swallow, Danielle","CoPe Conference on Community Resiliency In The Face of Coastal Hazards and The Renewable Energy Transition; May, 2020, Annapolis, MD",,,,,,,,,,,,,,,,,,,,,,,,,,,,Awarded Grant,Sep 15 2019,2019,"Communities along the east coast of the United States, primarily North Carolina to Maine, are in a time of rapid transition. First, like much of the rest of coastal United States, they are experiencing more pronounced coastal hazards, including sea level rise, increased storm rain events, and surging oceanic waters, resulting in flooding. These factors are complicated by climate change. In addition, as the US moves toward clean energy, wind turbines are beginning to be placed in the ocean off their coasts. These two dynamics could result in new relationships between communities and their coasts. This workshop will explore the implications of the changing nature of the human relationship between coastal communities, coastal processes, and electricity infrastructure in the ocean. The workshop will be oriented toward future research and opportunities to adapt, advance preparedness, and absorb and bounce back after storm events. The workshop will be held in Annapolis, Maryland in Spring 2020, and bring together scientists, planners, citizen groups, and business interests. The transition of the US east coast is characterized by two dynamics: coastal hazards, including rising seas, storm surge and increased precipitation events leading to flooding and inundation, which often have more serious impacts in the most vulnerable coastal populations, and siting and installation of renewable energy infrastructure in the ocean. The workshop seeks a better understanding of these interrelated dynamics with a focus on resilience building efforts and consideration of the development of an offshore wind energy system. The workshop will draw on academia (e.g., social and physical scientists, disaster management specialists and Sea Grant engagement professionals); government (federal, tribal, and state and local planners); adaptation practitioners; coastal civil society; and industry/private sector (chamber of commerce, commercial fishers, offshore wind developers) and focus on the changing human relationship with the coast/sea in small coastal communities. The workshop will work to improve understanding of (a) the links between large-scale coastal changes from physical processes and industrialization of the ocean from offshore renewable energy, (b) how best to engage policymakers in viewing these two forces of change together to find common strategies, overcome institutional barriers, and innovative partnering opportunities with co-benefits, and (c) effective risk communication strategies that articulate tradeoffs and uncertainties related to rapid transitions and resilience building in coastal communities. The workshop will generate an interdisciplinary research roadmap that address emerging coastal community transitions and identifies best practices and risk communication strategies to enhance adaptive capacity and resilience. This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",,,,,,,,,0,0,0,0,0,0,0,,,,,,1940217,,,,,,,,University of Delaware,,,,2023-12-08,GRANTS:15126072,,
J,"Gilde, Kailen; Pinckney, James L.",,,,,"Pinckney, James/0000-0002-6056-6511",,,,,Sublethal Effects of Crude Oil on the Community Structure of Estuarine Phytoplankton,,,,,,,,ESTUARIES AND COASTS,,,,35,3,,,853,861,,,,10.1007/s12237-011-9473-8,,,,,,,Article,MAY 2012,2012,"While the ecological impacts of crude oil exposure have been widely studied, its sublethal effects on phytoplankton community structure in salt marsh estuaries have not been well documented. The purpose of this study was to simulate oil spill conditions using a microcosm design to examine short-term (2 day) changes in phytoplankton community composition and total biomass following exposure to crude oil obtained from the Deepwater Horizon oil spill and a mixture of Texas crude oils. Microcosm experiments were performed in situ in North Inlet Estuary near Georgetown, SC. A control and six replicated experimental treatments of crude oil additions at final concentrations of 10, 50, or 100 mu l l(-1) of either Deepwater Horizon spill oil or the Texas crude mixture were incubated under in situ conditions. Photopigments were analyzed using high-performance liquid chromatography and community composition was determined using ChemTax. Total phytoplankton biomass (as chl a) declined with increasing crude oil concentrations. Prasinophytes, the most abundant microalga in both experiments, showed no response to oil exposure in one experiment and a significant negative response in the other. Diatoms euglenophytes and chlorophytes appeared relatively resistant to oil contamination at the exposure levels used in this study, maintaining or increasing their relative abundance with increasing oil concentrations. Chlorophytes and cyanobacteria increased in relative abundance while cryptophyte abundance decreased with increasing oil concentrations. The results of these experiments suggest that low levels of crude oil exposure may reduce total biomass and alter phytoplankton community composition with possible cascade effects at higher trophic levels in salt marsh estuaries.",,,,,,,,,48,11,0,0,46,0,70,,,1559-2723,1559-2731,,,,,,,,,,"Univ S Carolina, Marine Sci Program, Columbia, SC 29208 USAUniv S Carolina, Dept Biol Sci, Columbia, SC 29208 USA",,,,2012-05-01,WOS:000302481200013,,
J,"Rossetto, Ana Leticia de O. F.; Melegari, Silvia Pedroso; Ouriques, Luciane Cristina; Matias, William Gerson",,,,"de Souza, Samuel Melegari/F-7019-2015; Matias, William G/G-1161-2012; Melegari, Silvia/A-5555-2013","Melegari, Silvia/0000-0003-2089-4673; Matias, William Gerson/0000-0002-2386-0578",,,,,Comparative evaluation of acute and chronic toxicities of CuO nanoparticles and bulk using Daphnia magna and Vibrio fischeri,,,,,,,,SCIENCE OF THE TOTAL ENVIRONMENT,,,,490,,,,807,814,,,,10.1016/j.scitotenv.2014.05.056,,,,,,,Article,AUG 15 2014,2014,"Copper oxide (CuO) has various applications, as highlighted by the incorporation of this compound as a biocide of antifouling paints for coating ships and offshore oil platforms. The objective of this study was to evaluate and compare the aquatic toxicity of CuO nanoparticles (NPs) and microparticles (MPs) through acute and chronic toxicity tests with the freshwater microcrustacean Daphnia magna and an acute toxicity test with the bioluminescent marine bacteria Vibrio fischeri. Acute toxicity results for D. magna in tests with CuO NPs (EC50, 48 h = 22 mg L-1) were ten times higher than those for tests with CuOMPs (EC50, 48 h = 223.6 mg L-1). In both periods of exposure of V. fischeri, the CuO NPs (EC50, 15 m 248 +/- 56.39-equivalent to 12.40%; EC50, 30 m 257.6 +/- 30.8 mg L-1-equivalent to 12.88%) were more toxic than the CuO MPs (EC50, 15 m 2404.6 +/- 277.4 - equivalent to 60.10%; EC50, 30 m 1472.9 +/- 244.7 mg L-1 - equivalent to 36.82%). In chronic toxicity tests, both forms of CuO showed significant effects (p < 0.05) on the growth and reproduction parameters of the D. magna relative to the control. Additionally, morphological changes, such as lack of apical spine development and malformed carapaces in D. magna, were observed for organisms after the chronic test. The toxicity results demonstrate that CuO NPs have a higher level of toxicity than CuO MPs, emphasizing the need for comparative toxicological studies to correctly classify these two forms of CuO with identical CAS registration numbers. (C) 2014 Elsevier B.V. All rights reserved.",,,,,,,,,59,2,0,0,50,0,65,,,0048-9697,1879-1026,,,,,,,,,,"Univ Fed Santa Catarina, Lab Toxicol Ambiental, Dept Engn Sanitaria & Ambiental, LABTOX, BR-88040970 Florianopolis, SC, BrazilUniv Fed Santa Catarina, Lab Biol Celular Vegetal, Dept Biol Celular Embriol & Genet, Ctr Ciencias Biol, BR-88049900 Florianopolis, SC, Brazil",,,,2014-08-15,WOS:000347293800085,24907615,
J,"Sahling, H; Rickert, D; Lee, RW; Linke, P; Suess, E",,,,"Linke, Peter/A-4401-2014; Sahling, Heiko/B-7701-2017","Linke, Peter/0000-0001-7373-7335; Sahling, Heiko/0000-0002-1022-9816",,,,,"Macrofaunal community structure and sulfide flux at gas hydrate deposits from the Cascadia convergent margin, NE Pacific",,,,,,,,MARINE ECOLOGY PROGRESS SERIES,,,,231,,,,121,138,,,,10.3354/meps231121,,,,,,,Article,2002,2002,"Gas hydrates occur at the sediment surface on the southern summit of Hydrate Ridge, Cascadia convergent margin. The hydrates are found in mounds several meters in diameter and up to 2 m high, and are covered by sediment and mats of the filamentous sulfur-oxidizing bacteria Beggiatoa. The mounds are surrounded by vesicomyid clams (Calyptogena pacifica, C. kilmeri), which in turn are encircled by solemyid bivalves (Acharax sp.). The zonation pattern of 3 species (Calyptogena spp. and Acharax sp., which harbor chemoautotrophic bacteria in their gills, and the chemoautotrophic Beggiatoa), is also reflected in a change in the entire community structure. Beggiatoa, Calyptogena spp. and Acharax sp. are shown to be characteristic species for the different communities. The Beggiatoa community directly overlaying the gas hydrates consists of seep endemic species in high densities: gastropods (Provanna laevis, P. lomana, Pyropelta corymba, Hyalogyrina sp, nov.), bivalves (Nuculana sp, nov.) and polychaetes (Ampharetidae, Polynoidae, Dorvilleidae). Based on pooled samples, the rarefaction curves show a decrease in species diversity in the Beggiatoa and Calyptogena communities. The hydrogen sulfide gradients in the porewater of sediments below the different communities dominated by either Beggiatoa, Calyptogena spp. or Acharax sp. vary by 3 orders of magnitude. The diffusive sulfide flux based on the measured sulfide concentration gradients is highest in Beggiatoa sp. communities (23 +/- 13 mol m(-2) yr(-1)), slightly less in Calyptogena communities (6.6 +/- 2.4 mol m(-2) yr(-1)), and low in Acharax communities (0.05 +/- 0.05 mol m(-2) yr(-1)). The difference in the sulfide environment is a factor influencing the distribution patterns of the chemoautotrophy-dependant and heterotrophic species at the deep-sea sediments containing gas hydrate.",,,,,,,,,268,4,1,0,149,1,296,,,0171-8630,,,,,,,,,,,"GEOMAR Forschungszentrum Marine Geowissensch, D-24148 Kiel, GermanyWashington State Univ, Sch Biol Sci, Pullman, WA 99164 USA",,,,2002-01-01,WOS:000175860100012,,
J,"Aklilu, Getahun; Adali, Sarp; Bright, Glen",,,,,,,,,,Tensile behaviour of hybrid and non-hybrid polymer composite specimens at elevated temperatures,,,,,,,,ENGINEERING SCIENCE AND TECHNOLOGY-AN INTERNATIONAL JOURNAL-JESTECH,,,,23,4,,,732,743,,,,10.1016/j.jestch.2019.10.003,,,,,,,Article,AUG 2020,2020,"Fiber Reinforced Polymer (FRP) composites are used extensively in aerospace, marine and civil engineering. High stiffness-to-weight and high strength-to-weight ratios make these materials suitable for modern wind turbine blade manufacturing industries. In the present study, glass, carbon and glass-carbon composite materials are studied to determine their tensile properties at elevated temperatures as this is an important design consideration for wind turbines operating in warm climates. Specimens were tested in a range of temperatures to investigate thermal effects on their mechanical, thermal and failure behaviors.Experimental and FEA results show that tensile strength and heat flow of specimens decrease with increasing temperatures. Hybridization of two materials changes failure mode behaviors. Tensile strength test data was analyzed using chi-square goodness of fit statistical model. Results were correlated by using linear regression analysis. Normal, lognormal and 2-parameter Weibull statistical approaches were used to quantify the degree of variability in tensile strength of specimens. (C) 2019 Karabuk University. Publishing services by Elsevier B.V.",,,,,,,,,12,0,0,0,0,0,12,,,2215-0986,,,,,,,,,,,"Univ KwaZulu Natal, Discipline Mech Engn, ZA-4041 Durban, South Africa",,,,2021-07-13,WOS:000669498100003,,
J,"O'Donncha, Fearghal; James, Scott C.; Ragnoli, Emanuele",,,,"James, Scott C./E-5469-2018; O'Donncha, Fearghal/AFP-9619-2022","James, Scott C./0000-0001-7955-0491; O'Donncha, Fearghal/0000-0002-0275-1591",,,,,Modelling study of the effects of suspended aquaculture installations on tidal stream generation in Cobscook Bay,,,,,,,,RENEWABLE ENERGY,,,,102,,,,65,76,,,,10.1016/j.renene.2016.10.024,,,,,,,Article,MAR 2017,2017,"Recent endeavours have focused on the possibility of developing multi-use marine areas that integrate aquaculture with marine renewable energy device deployment. This work investigates both the individual and the combined impacts of suspended long-line mussel farms (canopies) and tidal stream devices. An amended version of an existing three-dimensional hydro-environmental code was used to describe the effects of both the aquaculture canopies and the tidal energy devices. The model was applied to a designated tidal energy test site on the East Coast of the United States, Cobscook Bay, ME. The quantifiable energy production capacity of the tidal stream devices with and without suspended canopies was considered. The effects of both types of structures on hydrodynamics and solute transport were analysed including flushing studies to quantify renewal timescales in the bay. Results demonstrate potential to optimise energy generation by combining turbine arrays with suspended aquaculture canopies. Combining MHK and aquaculture installations did not significantly impact the physical environment beyond the effects of the aquaculture canopies alone. Moreover, the potential energy production capacity was increased by up to 19% due to flow diversion and acceleration induced by the aquaculture canopies. (C) 2016 Elsevier Ltd. All rights reserved.",,,,,,,,,18,0,0,0,5,0,19,,,0960-1481,,,,,,,,,,,"IBM Res, Constrained Resources & Environm Analyt, Dublin, IrelandBaylor Univ, Dept Geol & Mech Engn, Waco, TX 76798 USA",IBM Res,,,2017-01-11,WOS:000390514300007,,
J,,,,,,,,,"Zuo, Lei","Deng, Zhiqun; Kuechle, Peter",Collaborative Research: GOALI: Bio-inspired bistable energy harvesting for fish telemetry tags,,,,,,,,,,,,,,,,,,,,,,,,,,,,Awarded Grant,Sep 15 2019,2019,"Aquatic systems are highly interconnected, which allow fish to traverse long distances, to dive through a water column, and, for some species, to move between fresh and saltwater environments. There is critical and urgent need for long-life unremitting fish monitoring technologies that can help with understanding fish behavior, selecting offshore wind farm sites, operating hydroelectric power plants, and assessing environmental impacts of marine hydrokinetic energy systems. The total market value of global telemetry including fish telemetry tags is estimated to reach $243 billion by 2020. Current fish telemetry tags are constrained by the limited lifetime of batteries, and periodic battery replacements are expensive and harmful to the fish. Another challenge is how to attach these tags to a fish with minimum impact on its normal life. Implanting a tag inside a fish body constitutes a complicated surgery process with the risk of impeding the fish life, and the mechanical clamping to the fin may negatively affect the fish motions. Therefore, this proposal aims at investigating a self-powered strategy and a bio- inspired attachment method for fish telemetry tags through energy harvesting from the surrounding fluid and fish maneuvering. The goals of this GOALI project are to design and validate a novel bio-inspired attachment with a minimal influence on fish life and mobility and a bio-inspired broadband energy harvester to achieve a self-powered fish telemetry tag. The proposed bio-inspired fish tag consists of a bio-inspired bi-stable energy harvester, a bio-inspired sucking disc, an acoustic transmitter, and an integrated circuit board that contains both the transmission circuit, sensors, and the energy-harvesting management circuit. Particularly, the principle behind the Venus flytrap will be fully understood to investigate the snap-through dynamics of the proposed bi-stable galloping piezoelectric harvester subjected to the combined excitations from fish maneuver and fluid flow. The remora-shark symbiotic relationship will be studied and used to guide the design of the bio-inspired sucking pad with stiff metal-based teeny spikes (in mimic the lamellar spinules) to attach the harvester on the fish. The specific work scope includes (1) a bio-inspired design of an attachment mechanism and a self-power sensing and communication system, (2) modeling of the fluid-structure-piezoelectric interaction, (3) the bio-inspired dynamics of the bi-stable piezoelectric energy harvester under complex excitations, and (4) experimental validation on robotic fish, live fish, and on-site demonstrations to investigate the performance and the influence of harvester on the fish life and mobility. The research is integrated with an educational and outreach plan, including course development, undergraduate research, K-12 students and teachers, and opportunities for minorities and women. The active collaboration between the two universities and industry will guide fundamental research to solve a critical industry need and enable wide dissemination and accelerated implementation of developed knowledge with immediate industry impacts. This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",,,,,,,,,0,0,0,0,0,0,0,,,,,,1935951,,,,,,,,Virginia Polytechnic Institute and State University,,,,2023-12-08,GRANTS:15125414,,
