Publication Type,Authors,Book Authors,Group Authors,Book Group Authors,Researcher Ids,ORCIDs,Book Editors,Author - Arabic,Grant Principal Investigator,Grant Co Principal Investigator,Article Title,Article Title - SciELO,Article Title - SciELO,Article Title - Chinese,Article Title - Russian,Patent Number,Patent Assignee,Source Title - Arabic,Source Title,Source Title - Korean,Book Series Title,Book Series Subtitle,Volume,Issue,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,Version,Version History,DOI,Book DOI,License Name,License URI,License Description,Early Access Date,Supplement,Document Type,Publication Date,Publication Year,Abstract,Abstract - Foreign,Abstract - English Transliteration,Abstract - Foreign,Abstract - Korean,Conference Title,Conference Date,Conference Sponsor,Conference Location,"Times Cited, WoS Core","Times Cited, CSCD","Times Cited, RSCI","Times Cited, ARCI","Times Cited, BCI","Times Cited, SCIELO","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,ISSN,eISSN,ISBN,Grant Number,No of References,Cited References,Language,Advisor,Committee Member,Copyright,Degree Name,Institution Address,Institution,Dissertation and Thesis Subjects,Author Keywords,Indexed Date,UT (Unique ID),Pubmed Id,
J,"Scarborough Bull, A.",,,,,,,,,,"Fish assemblages at oil and gas platforms, compared to natural hard/live bottom areas in the Gulf of Mexico.",,,,,,,,Coastal Zone,,,,1989,1,,,979,987,,,,,,,,,,,Article,1989,1989,,,,,,,,,,0,0,0,0,0,0,0,,,0821-1302,,,,,,,,,,,,,,,1989-01-01,ZOOREC:ZOOR12600043020,,
J,"Gitschlag, Gregg R.; Herczeg, Bryan A.",,,,,,,,,,Sea turtle observations at explosive removals of energy structures.,,,,,,,,U S National Marine Fisheries Service Marine Fisheries Review,,,,56,2,,,1,8,,,,,,,,,,,Article,1994(1995),1995,,,,,,,,,,5,0,0,0,3,0,6,,,0090-1830,,,,,,,,,,,,,,,1995-01-01,ZOOREC:ZOOR13200046484,,
J,"MIDDLEDITCH, BS",,,,,,,,,,ECOLOGICAL EFFECTS OF PRODUCED WATER EFFLUENTS FROM OFFSHORE OIL AND GAS-PRODUCTION PLATFORMS,,,,,,,,OCEAN MANAGEMENT,,,,9,3-4,,,191,316,,,,10.1016/0302-184X(84)90003-9,,,,,,,Review,1984,1984,,,,,,,,,,13,1,0,0,7,0,13,,,0302-184X,,,,,,,,,,,,,,,1984-01-01,WOS:A1984TK02600003,,
J,"Ralph, R.; Goodman, K.S.",,,,,,,,,,Marine growth on North Sea oil and gas platforms.,,,,,,,,Progress in Underwater Science,,,,6,,,,51,56,,,,,,,,,,,Article,1980[1981],1981,,,,,,,,,,0,0,0,0,0,0,0,,,0959-2822,,,,,,,,,,,,,,,1981-01-01,ZOOREC:ZOOR11800046663,,
J,"STANLEY, DR; WILSON, CA",,,,,,,,,,A FISHERY-DEPENDENT BASED STUDY OF FISH SPECIES COMPOSITION AND ASSOCIATED CATCH RATES AROUND OIL AND GAS STRUCTURES OFF LOUISIANA,,,,,,,,FISHERY BULLETIN,,,,88,4,,,719,730,,,,,,,,,,,Article,1990,1990,"The impact of oil and gas development on fish populations off Louisiana is presumed significant but poorly understood. This study was undertaken to determine the applicability of a logbook program in developing a long-term database of species composition and relative abundance of fish associated with oil and gas structures. A pilot logbook program involving 120 private vessel owners and 25 charterboat operators was conducted between March 1987 and December 1988. Participants recorded date, fishing time, fishing method, number of anglers, and catch composition at each structure fished. Logbooks from a total of 55 private vessel owners and 10 charterboat operators were used in the analysis. Data collected included 15780 angler hours of fishing effort and 61227 fish caught over the study period. A total of 1719 trips were made to 589 different oil and gas structures with at least 46 different species of fish caught. Red snapper and spotted seatrout were the most commonly caught species and had the highest catch rates. Results differed from past logbook programs and creel surveys, possibly indicating a change in the community of fish associated with oil and gas structures.",,,,,,,,,40,0,1,0,19,2,47,,,0090-0656,,,,,,,,,,,,,,,1990-01-01,WOS:A1990EP81300011,,
J,"Barker, Victoria A.; Cowan, James H., Jr.",,,,,,,,,,The effect of artificial light on the community structure of reef-associated fishes at oil and gas platforms in the northern Gulf of Mexico,,,,,,,,ENVIRONMENTAL BIOLOGY OF FISHES,,,,101,1,,,153,166,,,,10.1007/s10641-017-0688-9,,,,,,,Article,JAN 2018,2018,"The northern Gulf of Mexico (GOM) contains almost 2300 oil and gas platforms. While some of these platforms are actively lit, allowing for normal working conditions throughout the night, many are unlit, illuminated only by small navigation beacons to warn vessels of their presence. In addition to producing oil and gas, these structures inadvertently serve as artificial reef habitat for a variety of GOM fish and invertebrate species. Though many fish species have been reported aggregating near these structures, this study is the first to examine changes in fish community structure in response to the structures' artificial light regimes. Baited remote underwater video (BRUV) surveys were conducted at two lit and three unlit oil and gas platforms off the coast of Louisiana to examine the effect of platform artificial lighting on fish community structure during the day, at night, and during crepuscular periods. Seventeen recreationally harvested species were observed, with red snapper (Lutjanus campechanus) being the most abundant. Statistical analysis indicated that fish community varied significantly with depth, season, type, and season by type interactions. More fish were seen at lit platforms than at unlit platforms, with the majority of individuals identified near the surface. While fish abundance at the surface remained high during the day, the numbers declined at night. This suggests that though fishes are attracted to the vertical relief of the structure, they may be avoiding the artificial light field at the surface either to escape nocturnal predation or to forage away from the platform.",,,,,,,,,20,1,0,0,15,0,22,,,0378-1909,1573-5133,,,,,,,,,,"Louisiana State Univ, Dept Oceanog & Coastal Sci, 2201 Energy Coast & Environm Bldg, Baton Rouge, LA 70803 USALouisiana State Univ, Dept Oceanog & Coastal Sci, 2247 Energy Coast & Environm Bldg, Baton Rouge, LA 70803 USANatl Pk Amer Samoa, MHJ Bldg, Pago Pago, AS 96799 USA",Natl Pk Amer Samoa,,,2018-01-25,WOS:000419462700011,,
J,"Driessen, P.K.",,,,,,,,,,Oil platforms as reefs: oil and fish can mix.,,,,,,,,Coastal Zone,,,,1985,2,,,1417,1438,,,,,,,,,,,Article,1985,1985,,,,,,,,,,0,0,0,0,0,0,0,,,0821-1302,,,,,,,,,,,,,,,1985-01-01,ZOOREC:ZOOR12300038242,,
J,"Wilson, Charles A.; Nieland, David L.",,,,,,,,,,"The role of oil and gas platforms in providing habitat for northern Gulf of Mexico red snapper, Lutjanus capechanus.",,,,,,,,Proceedings of the Gulf and Caribbean Fisheries Institute,,,,55,,,,757,764,,,,,,,,,,,Article; Meeting paper,2004,2004,"The northern Gulf of Mexico (GOM) off Louisiana and Texas currently produces significant portions of the commercial and recreational harvests of red snapper Lutjanus campechanus; however, this has not always been the case. Annual commercial landings in the five states bordering the GOM indicate a shift in the fishery from the eastern to the more western GOM since 1970 concomitant with the placement of several thousand oil and gas platforms into the area. Although the addition of considerable complex steel structure to the environment and the shift of the red snapper fishery to Louisiana and Texas may be coincidental, there is still a need to better understand the role of oil and gas platforms in red snapper life history. Quantitative estimates of red snapper associated with platforms have been derived both from assessments of the effects of platform removal via explosives and from hydroacoustic surveys of selected platforms. Based both on these estimates and on the numbers of platforms sited at depth, we estimate from 1.2 to 7.2 million red snapper live around platforms placed at depths of 20 -100 m. Many of these are relatively young individuals of ages 2 - 4 years. These numbers suggest a range of red snapper abundances reflecting the ubiquitous presence of red snapper at oil and gas platforms. We intend to continue this line of investigation to determine if platforms have become 'essential' to the persistence of a large population of red snapper in the northern GOM.",,,,,,,,,2,0,0,0,2,0,2,,,0361-2953,,,,,,,,,,,"Coastal Fisheries Institute, Louisiana State University, Baton Rouge, Louisiana 70803, USA",,,,2004-01-01,ZOOREC:ZOOR14009053945,,
J,"Nowling, Lauren; Gauldie, R.W.; Cowan, J.H., Jr; De Carlo, E.",,,,,,,,,,Successful Discrimination Using Otolith Microchemistry Among Samples of Red Snapper Lutjanus campechanus from Artificial Reefs and Samples of L. campechanus Taken from Nearby Oil and Gas Platforms.,,,,,,,,Open Fish Science Journal,,,,4,,,,1,9,,,,,,,,,,,Article,2011,2011,"total of 98 Lutjanus campechanus otoliths were analyzed by ICPMS from collections made from both artifi- cial reefs and oil and gas platforms in Alabama and Louisiana over a two-year period from 2002 to 2003. The 15 stable isotopes analyzed in this study were 51 V, 59 Co, 62 Ni, 64 Zn, 66 Zn, 65 Cu, 107 Ag, 109 Ag, 110 Cd, 111 Cd, 114 Cd, 206 Pb, 207 Pb, 208 Pb and 238 U. This suite of elements was chosen because they were most likely to be present at oil and gas platforms in the metals and other materials used in artificial reefs, and in the circulating heavy muds used while drilling wells. A series of statistical analyses were performed to establish the statistical structure of the data. Linear and stepwise discriminant analyses were performed to show that by using subsets of all the elements measured, it was possible to discriminate among artificial reefs and oil and gas platforms at average misclassification rates of the order of 10%.",,,,,,,,,9,0,0,0,9,0,14,,,,,,,,,,,,,,"Department of Oceanography, and Coastal Sciences, Louisiana State University, Baton Rouge, LA 70803, USA",,,,2011-11-24,ZOOREC:ZOOR14712082249,,
J,"STANLEY, DR; WILSON, CA",,,,,,,,,,FACTORS AFFECTING THE ABUNDANCE OF SELECTED FISHES NEAR OIL AND GAS PLATFORMS IN THE NORTHERN GULF OF MEXICO,,,,,,,,FISHERY BULLETIN,,,,89,1,,,149,159,,,,,,,,,,,Article,JAN 1991,1991,"A logbook program was initiated to determine the relative abundance of selected fish species around oil and gas platforms off the Louisiana coast. Logbooks were maintained by 55 anglers and 10 charterboat operators from March 1987 to March 1988. A total of 36,839 fish were caught representing over 46 different species.Principal component analysis (PCA) grouped the seventeen most abundant species into reef fish, pelagic fish, bluefish-red drum, Atlantic croaker-silver/sand seatrout, and cobia-shark-blue runner associations. Multiple regression analyses were used to compare PCA groupings to physical platform, temporal, geological, and angler characteristic variables and their interactions. Reef fish, Atlantic croaker, and silver/sand seatrout abundances were highest near large, structurally complex platforms in relatively deep water. High spotted seatrout abundances were correlated with small, unmanned oil and gas platforms in shallow water. Pelagic fish, bluefish, red drum, cobia, and shark abundances were not related to the physical parameters of the platforms.",,,,,,,,,38,0,0,0,23,2,48,,,0090-0656,,,,,,,,,,,,,,,1991-01-01,WOS:A1991FE84000015,,
